analysis,metric,point_estimate,interval_lower,interval_upper,resamples,incorrect_to_correct,correct_to_incorrect,status,execution_stage,training_scope,development_fold,source_training_provenance,target_position,P4_EVALUATION_STATUS
seed_45_accuracy,accuracy,0.031746031746031744,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_46_macro_f1,macro_f1,-0.04316996372745502,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_46_accuracy,accuracy,-0.015873015873015872,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_42_out_macro_f1,macro_f1,0.0005894299402037957,-0.034506199339443745,0.03347449691723757,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_42_out_accuracy,accuracy,-0.003968253968253968,-0.03968253968253968,0.031746031746031744,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_43_out_macro_f1,macro_f1,-0.002040443717684994,-0.032624240149426276,0.025848059228452805,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_43_out_accuracy,accuracy,-0.003968253968253968,-0.03571428571428571,0.027777777777777776,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_44_out_macro_f1,macro_f1,0.002814711231549031,-0.022485528798574277,0.028908025654544537,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_44_out_accuracy,accuracy,0.011904761904761904,-0.01984126984126984,0.04365079365079365,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_45_out_macro_f1,macro_f1,-0.006886173682016376,-0.0354738245284899,0.01871344004966417,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_45_out_accuracy,accuracy,-0.007936507936507936,-0.04365079365079365,0.023809523809523808,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_46_out_macro_f1,macro_f1,0.012549162499835492,-0.01191857308561943,0.035356005517267516,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
leave_seed_46_out_accuracy,accuracy,0.003968253968253968,-0.023809523809523808,0.03571428571428571,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
tagid_0_mean_block_f1,per_class_f1,0.005004037960559704,,,,2,1,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
tagid_1_mean_block_f1,per_class_f1,0.06037904124860648,,,,3,0,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
tagid_2_mean_block_f1,per_class_f1,-0.03636363636363636,,,,0,1,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
tagid_3_mean_block_f1,per_class_f1,0.0036743728333090697,,,,5,6,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
tagid_4_mean_block_f1,per_class_f1,0.017564235522493227,,,,4,3,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
tagid_5_mean_block_f1,per_class_f1,-0.015384615384615385,,,,0,1,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
tagid_6_mean_block_f1,per_class_f1,-0.025036075036075023,,,,1,3,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm_mean_cross_seed_agreement,cross_seed_agreement,0.7079365079365079,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro_mean_cross_seed_agreement,cross_seed_agreement,0.7365079365079364,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm_source_to_p4_macro_f1_drop,macro_f1,-0.03671003341137151,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro_source_to_p4_macro_f1_drop,macro_f1,-0.04779762090918044,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
