method,seed,tagid_label,precision,recall,f1,execution_stage,training_scope,development_fold,source_training_provenance,target_position,P4_EVALUATION_STATUS
groupdro,44,6,0.5,0.1111111111111111,0.18181818181818182,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,0,0.08333333333333333,0.1111111111111111,0.09523809523809523,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,1,0.3333333333333333,0.2222222222222222,0.26666666666666666,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,3,0.041666666666666664,0.1111111111111111,0.06060606060606061,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,4,0.14285714285714285,0.1111111111111111,0.125,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,6,0.18181818181818182,0.2222222222222222,0.2,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,0,0.09090909090909091,0.1111111111111111,0.1,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,1,0.5,0.2222222222222222,0.3076923076923077,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,3,0.08333333333333333,0.3333333333333333,0.13333333333333333,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,4,0.3333333333333333,0.2222222222222222,0.26666666666666666,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,6,0.5,0.1111111111111111,0.18181818181818182,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,0,0.06666666666666667,0.1111111111111111,0.08333333333333333,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,1,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,2,0.5,0.1111111111111111,0.18181818181818182,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,3,0.12121212121212122,0.4444444444444444,0.19047619047619047,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,4,0.25,0.1111111111111111,0.15384615384615385,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,6,0.2857142857142857,0.2222222222222222,0.25,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,0,0.10714285714285714,0.3333333333333333,0.16216216216216217,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,1,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,3,0.125,0.4444444444444444,0.1951219512195122,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,4,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,6,1.0,0.1111111111111111,0.2,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
