position,fold,tag_id,er,surface,block_token,split,repeat_count
P1,1,4,1,A3,BLOCK-009dce14e77dadff,test,50
P1,1,4,2,A1,BLOCK-ac537239fdff73ba,test,50
P1,1,4,2,A2,BLOCK-9bdb76c9bbfbea61,validation,50
P1,1,4,2,A3,BLOCK-a8afdc9a4a480579,train,50
P1,1,5,0,A1,BLOCK-f19c8eb0c0b1d306,train,50
P1,1,5,0,A2,BLOCK-3e651e3730ca3abc,test,50
P1,1,5,0,A3,BLOCK-5e5234f35b341ffe,validation,50
P1,1,5,1,A1,BLOCK-2b44e2d29ba4b598,validation,50
P1,1,5,1,A2,BLOCK-ab456e66cd53f4f8,train,50
P1,1,5,1,A3,BLOCK-a928adeb5498f022,test,50
P1,1,5,2,A1,BLOCK-e2b74d00e96cb297,test,50
P1,1,5,2,A2,BLOCK-72d5f2dea6e0b2a8,validation,50
P1,1,5,2,A3,BLOCK-6f6552f23ee25a73,train,50
P1,1,6,0,A1,BLOCK-5312891fb21a4aac,train,50
P1,1,6,0,A2,BLOCK-ebae4fbb0bd2da3f,test,50
P1,1,6,0,A3,BLOCK-44b4c2da3ce5edb9,validation,50
P1,1,6,1,A1,BLOCK-3aa7e357b8e2466f,validation,50
P1,1,6,1,A2,BLOCK-c5048698f86042c4,train,50
P1,1,6,1,A3,BLOCK-287375a81cb3c67c,test,50
P1,1,6,2,A1,BLOCK-28bd17736aea1dd4,test,50
P1,1,6,2,A2,BLOCK-fbabc010fd4dd493,validation,50
P1,1,6,2,A3,BLOCK-7c051d97b2609582,train,50
P1,1,7,0,A1,BLOCK-4b0fd6eb8b9647fd,train,50
P1,1,7,0,A2,BLOCK-b29ecad77cbb8230,test,50
P1,1,7,0,A3,BLOCK-35f3834c5cae085e,validation,50
P1,1,7,1,A1,BLOCK-ccdecb688c2fec97,validation,50
P1,1,7,1,A2,BLOCK-23e5dbd2f4526010,train,50
P1,1,7,1,A3,BLOCK-255ae3e956c0997b,test,50
P1,1,7,2,A1,BLOCK-149d5b239f0cc48f,test,50
P1,1,7,2,A2,BLOCK-949e909354b73fab,validation,50
P1,1,7,2,A3,BLOCK-37cc9aa64464ebd5,train,50
P1,2,1,0,A1,BLOCK-2825523bbf189840,validation,50
P1,2,1,0,A2,BLOCK-7b236b3a3ea38df3,train,50
P1,2,1,0,A3,BLOCK-f1b3925eed2d442a,test,50
P1,2,1,1,A1,BLOCK-a210832939b5a8fb,test,50
P1,2,1,1,A2,BLOCK-df76ab464a03bc2e,validation,50
P1,2,1,1,A3,BLOCK-84bb5161a05bc393,train,50
P1,2,1,2,A1,BLOCK-5b551154547c4017,train,50
P1,2,1,2,A2,BLOCK-b6a915f5e7d1e114,test,50
P1,2,1,2,A3,BLOCK-53aff3f1935e0b45,validation,50
P1,2,2,0,A1,BLOCK-95a6b5725b5b2792,validation,50
P1,2,2,0,A2,BLOCK-fd5febce5f31bbd1,train,50
P1,2,2,0,A3,BLOCK-ba21e289bb8e24df,test,50
P1,2,2,1,A1,BLOCK-29595bd9dbd711f8,test,50
P1,2,2,1,A2,BLOCK-bd5dfff97d855a1d,validation,50
P1,2,2,1,A3,BLOCK-66c76ab3061ab56c,train,50
P1,2,2,2,A1,BLOCK-5b5a4ae7d220a081,train,50
P1,2,2,2,A2,BLOCK-ed93dc9b7f7d8c23,test,50
P1,2,2,2,A3,BLOCK-e8a3ef00310055ed,validation,50
P1,2,3,0,A1,BLOCK-0d263f8455b9e6e1,validation,50
P1,2,3,0,A2,BLOCK-2e3300107cb4569a,train,50
P1,2,3,0,A3,BLOCK-c7f1a4c78fbecd52,test,50
P1,2,3,1,A1,BLOCK-1e494e301fc98fc7,test,50
P1,2,3,1,A2,BLOCK-7a8e479323b884c1,validation,50
P1,2,3,1,A3,BLOCK-2f3a3bbdac800702,train,50
P1,2,3,2,A1,BLOCK-3b332170c7da8b29,train,50
P1,2,3,2,A2,BLOCK-cb02c17a69aa12bf,test,50
P1,2,3,2,A3,BLOCK-7dfa257fa7d6b8b9,validation,50
P1,2,4,0,A1,BLOCK-4cd51a818715dc26,validation,50
P1,2,4,0,A2,BLOCK-68b2bc7be6bd1e2e,train,50
P1,2,4,0,A3,BLOCK-d8494c431d49153b,test,50
P1,2,4,1,A1,BLOCK-e80f2ec3b2c546e6,test,50
P1,2,4,1,A2,BLOCK-a07ca407e2615fa3,validation,50
P1,2,4,1,A3,BLOCK-009dce14e77dadff,train,50
P1,2,4,2,A1,BLOCK-ac537239fdff73ba,train,50
P1,2,4,2,A2,BLOCK-9bdb76c9bbfbea61,test,50
P1,2,4,2,A3,BLOCK-a8afdc9a4a480579,validation,50
P1,2,5,0,A1,BLOCK-f19c8eb0c0b1d306,validation,50
P1,2,5,0,A2,BLOCK-3e651e3730ca3abc,train,50
P1,2,5,0,A3,BLOCK-5e5234f35b341ffe,test,50
P1,2,5,1,A1,BLOCK-2b44e2d29ba4b598,test,50
P1,2,5,1,A2,BLOCK-ab456e66cd53f4f8,validation,50
P1,2,5,1,A3,BLOCK-a928adeb5498f022,train,50
P1,2,5,2,A1,BLOCK-e2b74d00e96cb297,train,50
P1,2,5,2,A2,BLOCK-72d5f2dea6e0b2a8,test,50
P1,2,5,2,A3,BLOCK-6f6552f23ee25a73,validation,50
P1,2,6,0,A1,BLOCK-5312891fb21a4aac,validation,50
P1,2,6,0,A2,BLOCK-ebae4fbb0bd2da3f,train,50
P1,2,6,0,A3,BLOCK-44b4c2da3ce5edb9,test,50
P1,2,6,1,A1,BLOCK-3aa7e357b8e2466f,test,50
P1,2,6,1,A2,BLOCK-c5048698f86042c4,validation,50
P1,2,6,1,A3,BLOCK-287375a81cb3c67c,train,50
P1,2,6,2,A1,BLOCK-28bd17736aea1dd4,train,50
P1,2,6,2,A2,BLOCK-fbabc010fd4dd493,test,50
P1,2,6,2,A3,BLOCK-7c051d97b2609582,validation,50
P1,2,7,0,A1,BLOCK-4b0fd6eb8b9647fd,validation,50
P1,2,7,0,A2,BLOCK-b29ecad77cbb8230,train,50
P1,2,7,0,A3,BLOCK-35f3834c5cae085e,test,50
P1,2,7,1,A1,BLOCK-ccdecb688c2fec97,test,50
P1,2,7,1,A2,BLOCK-23e5dbd2f4526010,validation,50
P1,2,7,1,A3,BLOCK-255ae3e956c0997b,train,50
P1,2,7,2,A1,BLOCK-149d5b239f0cc48f,train,50
P1,2,7,2,A2,BLOCK-949e909354b73fab,test,50
P1,2,7,2,A3,BLOCK-37cc9aa64464ebd5,validation,50
P2,0,1,0,A1,BLOCK-6d3259f4a9921f18,test,50
P2,0,1,0,A2,BLOCK-c18ff8b2d45bde40,validation,50
P2,0,1,0,A3,BLOCK-21fc5ccbe3d7d0c7,train,50
P2,0,1,1,A1,BLOCK-5e1b9920938ba691,train,50
P2,0,1,1,A2,BLOCK-ef22f7b79296c610,test,50
P2,0,1,1,A3,BLOCK-b5b67c805e300f24,validation,50
P2,0,1,2,A1,BLOCK-a294be3b319ee3bc,validation,50
P2,0,1,2,A2,BLOCK-6c933e916332dace,train,50
P2,0,1,2,A3,BLOCK-f3dfe6ccd0e26caa,test,50
P2,0,2,0,A1,BLOCK-ae11b373a509c967,test,50
P2,0,2,0,A2,BLOCK-72ce4ff7ead07fcf,validation,50
P2,0,2,0,A3,BLOCK-d43bb48e9e13e781,train,50
P2,0,2,1,A1,BLOCK-35d3597308cea1a7,train,50
P2,0,2,1,A2,BLOCK-bd30c8b9f6fec6b1,test,50
P2,0,2,1,A3,BLOCK-e0c9bc79e8d4eade,validation,50
P2,0,2,2,A1,BLOCK-57b2f2a6cc66e7fa,validation,50
P2,0,2,2,A2,BLOCK-ee4aca3d1235a974,train,50
P2,0,2,2,A3,BLOCK-28a950344fb38e32,test,50
P2,0,3,0,A1,BLOCK-605d89213cea43e6,test,50
P2,0,3,0,A2,BLOCK-75f09030883325cd,validation,50
P2,0,3,0,A3,BLOCK-ce6012b6933c0e35,train,50
P2,0,3,1,A1,BLOCK-c6bb98cf6672adcb,train,50
P2,0,3,1,A2,BLOCK-3e1acc3213775b03,test,50
P2,0,3,1,A3,BLOCK-109baff6eb661c65,validation,50
P2,0,3,2,A1,BLOCK-925343f243c981a3,validation,50
P2,0,3,2,A2,BLOCK-2e7ff88382316f2a,train,50
P2,0,3,2,A3,BLOCK-4d0cf42a28ae81d1,test,50
P2,0,4,0,A1,BLOCK-c74e5be67309c7a0,test,50
P2,0,4,0,A2,BLOCK-669093b756b1cf63,validation,50
P2,0,4,0,A3,BLOCK-9af2e9689a05fb49,train,50
P2,0,4,1,A1,BLOCK-4fdf5e9b96e3979a,train,50
P2,0,4,1,A2,BLOCK-233b8085670d6d52,test,50
P2,0,4,1,A3,BLOCK-14bb5200a643a03d,validation,50
P2,0,4,2,A1,BLOCK-34826b13f8b5b58c,validation,50
P2,0,4,2,A2,BLOCK-7791faa77fece441,train,50
P2,0,4,2,A3,BLOCK-85d3ea979c5675d9,test,50
P2,0,5,0,A1,BLOCK-65f44a8827c0b400,test,50
P2,0,5,0,A2,BLOCK-b9502c120fd41f7f,validation,50
P2,0,5,0,A3,BLOCK-25e259bea923b3db,train,50
P2,0,5,1,A1,BLOCK-eccd4775037eff26,train,50
P2,0,5,1,A2,BLOCK-47c67ddd167f1fb6,test,50
P2,0,5,1,A3,BLOCK-ff664c1eeda810b7,validation,50
P2,0,5,2,A1,BLOCK-0915106dc251950d,validation,50
P2,0,5,2,A2,BLOCK-d91010f98db14c8a,train,50
P2,0,5,2,A3,BLOCK-15ca8581c1b759af,test,50
P2,0,6,0,A1,BLOCK-962f9e96c18500e0,test,50
P2,0,6,0,A2,BLOCK-b1345b982d038651,validation,50
P2,0,6,0,A3,BLOCK-336ed0c6e282a04c,train,50
P2,0,6,1,A1,BLOCK-c396aaa848fd2d0c,train,50
P2,0,6,1,A2,BLOCK-7c7d2731f9aaf566,test,50
P2,0,6,1,A3,BLOCK-71f736f00c2f1457,validation,50
P2,0,6,2,A1,BLOCK-05858919f0dee161,validation,50
P2,0,6,2,A2,BLOCK-1fe663fcb7845f32,train,50
P2,0,6,2,A3,BLOCK-583ede3882b3415a,test,50
P2,0,7,0,A1,BLOCK-0d6d65aeb54cafc3,test,50
P2,0,7,0,A2,BLOCK-e6914ba5d5d1257b,validation,50
P2,0,7,0,A3,BLOCK-4396a3b4ec6cf8ac,train,50
P2,0,7,1,A1,BLOCK-2e76e4cec8413c5d,train,50
P2,0,7,1,A2,BLOCK-89818c510a4570ab,test,50
P2,0,7,1,A3,BLOCK-32cb356caf9d499a,validation,50
P2,0,7,2,A1,BLOCK-60c8f97a2a800951,validation,50
P2,0,7,2,A2,BLOCK-e1f4b0f360bcef2d,train,50
P2,0,7,2,A3,BLOCK-137a36265d82df51,test,50
P2,1,1,0,A1,BLOCK-6d3259f4a9921f18,train,50
P2,1,1,0,A2,BLOCK-c18ff8b2d45bde40,test,50
P2,1,1,0,A3,BLOCK-21fc5ccbe3d7d0c7,validation,50
P2,1,1,1,A1,BLOCK-5e1b9920938ba691,validation,50
P2,1,1,1,A2,BLOCK-ef22f7b79296c610,train,50
P2,1,1,1,A3,BLOCK-b5b67c805e300f24,test,50
P2,1,1,2,A1,BLOCK-a294be3b319ee3bc,test,50
P2,1,1,2,A2,BLOCK-6c933e916332dace,validation,50
P2,1,1,2,A3,BLOCK-f3dfe6ccd0e26caa,train,50
P2,1,2,0,A1,BLOCK-ae11b373a509c967,train,50
P2,1,2,0,A2,BLOCK-72ce4ff7ead07fcf,test,50
P2,1,2,0,A3,BLOCK-d43bb48e9e13e781,validation,50
P2,1,2,1,A1,BLOCK-35d3597308cea1a7,validation,50
P2,1,2,1,A2,BLOCK-bd30c8b9f6fec6b1,train,50
P2,1,2,1,A3,BLOCK-e0c9bc79e8d4eade,test,50
P2,1,2,2,A1,BLOCK-57b2f2a6cc66e7fa,test,50
P2,1,2,2,A2,BLOCK-ee4aca3d1235a974,validation,50
P2,1,2,2,A3,BLOCK-28a950344fb38e32,train,50
P2,1,3,0,A1,BLOCK-605d89213cea43e6,train,50
P2,1,3,0,A2,BLOCK-75f09030883325cd,test,50
P2,1,3,0,A3,BLOCK-ce6012b6933c0e35,validation,50
P2,1,3,1,A1,BLOCK-c6bb98cf6672adcb,validation,50
P2,1,3,1,A2,BLOCK-3e1acc3213775b03,train,50
P2,1,3,1,A3,BLOCK-109baff6eb661c65,test,50
P2,1,3,2,A1,BLOCK-925343f243c981a3,test,50
P2,1,3,2,A2,BLOCK-2e7ff88382316f2a,validation,50
P2,1,3,2,A3,BLOCK-4d0cf42a28ae81d1,train,50
P2,1,4,0,A1,BLOCK-c74e5be67309c7a0,train,50
P2,1,4,0,A2,BLOCK-669093b756b1cf63,test,50
P2,1,4,0,A3,BLOCK-9af2e9689a05fb49,validation,50
P2,1,4,1,A1,BLOCK-4fdf5e9b96e3979a,validation,50
P2,1,4,1,A2,BLOCK-233b8085670d6d52,train,50
P2,1,4,1,A3,BLOCK-14bb5200a643a03d,test,50
P2,1,4,2,A1,BLOCK-34826b13f8b5b58c,test,50
P2,1,4,2,A2,BLOCK-7791faa77fece441,validation,50
P2,1,4,2,A3,BLOCK-85d3ea979c5675d9,train,50
P2,1,5,0,A1,BLOCK-65f44a8827c0b400,train,50
P2,1,5,0,A2,BLOCK-b9502c120fd41f7f,test,50
P2,1,5,0,A3,BLOCK-25e259bea923b3db,validation,50
P2,1,5,1,A1,BLOCK-eccd4775037eff26,validation,50
P2,1,5,1,A2,BLOCK-47c67ddd167f1fb6,train,50
P2,1,5,1,A3,BLOCK-ff664c1eeda810b7,test,50
P2,1,5,2,A1,BLOCK-0915106dc251950d,test,50
P2,1,5,2,A2,BLOCK-d91010f98db14c8a,validation,50
P2,1,5,2,A3,BLOCK-15ca8581c1b759af,train,50
P2,1,6,0,A1,BLOCK-962f9e96c18500e0,train,50
P2,1,6,0,A2,BLOCK-b1345b982d038651,test,50
P2,1,6,0,A3,BLOCK-336ed0c6e282a04c,validation,50
P2,1,6,1,A1,BLOCK-c396aaa848fd2d0c,validation,50
P2,1,6,1,A2,BLOCK-7c7d2731f9aaf566,train,50
P2,1,6,1,A3,BLOCK-71f736f00c2f1457,test,50
P2,1,6,2,A1,BLOCK-05858919f0dee161,test,50
P2,1,6,2,A2,BLOCK-1fe663fcb7845f32,validation,50
P2,1,6,2,A3,BLOCK-583ede3882b3415a,train,50
P2,1,7,0,A1,BLOCK-0d6d65aeb54cafc3,train,50
P2,1,7,0,A2,BLOCK-e6914ba5d5d1257b,test,50
P2,1,7,0,A3,BLOCK-4396a3b4ec6cf8ac,validation,50
P2,1,7,1,A1,BLOCK-2e76e4cec8413c5d,validation,50
P2,1,7,1,A2,BLOCK-89818c510a4570ab,train,50
P2,1,7,1,A3,BLOCK-32cb356caf9d499a,test,50
P2,1,7,2,A1,BLOCK-60c8f97a2a800951,test,50
P2,1,7,2,A2,BLOCK-e1f4b0f360bcef2d,validation,50
P2,1,7,2,A3,BLOCK-137a36265d82df51,train,50
P2,2,1,0,A1,BLOCK-6d3259f4a9921f18,validation,50
P2,2,1,0,A2,BLOCK-c18ff8b2d45bde40,train,50
P2,2,1,0,A3,BLOCK-21fc5ccbe3d7d0c7,test,50
P2,2,1,1,A1,BLOCK-5e1b9920938ba691,test,50
P2,2,1,1,A2,BLOCK-ef22f7b79296c610,validation,50
P2,2,1,1,A3,BLOCK-b5b67c805e300f24,train,50
P2,2,1,2,A1,BLOCK-a294be3b319ee3bc,train,50
P2,2,1,2,A2,BLOCK-6c933e916332dace,test,50
P2,2,1,2,A3,BLOCK-f3dfe6ccd0e26caa,validation,50
P2,2,2,0,A1,BLOCK-ae11b373a509c967,validation,50
P2,2,2,0,A2,BLOCK-72ce4ff7ead07fcf,train,50
P2,2,2,0,A3,BLOCK-d43bb48e9e13e781,test,50
P2,2,2,1,A1,BLOCK-35d3597308cea1a7,test,50
P2,2,2,1,A2,BLOCK-bd30c8b9f6fec6b1,validation,50
P2,2,2,1,A3,BLOCK-e0c9bc79e8d4eade,train,50
P2,2,2,2,A1,BLOCK-57b2f2a6cc66e7fa,train,50
P2,2,2,2,A2,BLOCK-ee4aca3d1235a974,test,50
P2,2,2,2,A3,BLOCK-28a950344fb38e32,validation,50
P2,2,3,0,A1,BLOCK-605d89213cea43e6,validation,50
P2,2,3,0,A2,BLOCK-75f09030883325cd,train,50
P2,2,3,0,A3,BLOCK-ce6012b6933c0e35,test,50
P2,2,3,1,A1,BLOCK-c6bb98cf6672adcb,test,50
P2,2,3,1,A2,BLOCK-3e1acc3213775b03,validation,50
P2,2,3,1,A3,BLOCK-109baff6eb661c65,train,50
P2,2,3,2,A1,BLOCK-925343f243c981a3,train,50
P2,2,3,2,A2,BLOCK-2e7ff88382316f2a,test,50
P2,2,3,2,A3,BLOCK-4d0cf42a28ae81d1,validation,50
P2,2,4,0,A1,BLOCK-c74e5be67309c7a0,validation,50
P2,2,4,0,A2,BLOCK-669093b756b1cf63,train,50
P2,2,4,0,A3,BLOCK-9af2e9689a05fb49,test,50
P2,2,4,1,A1,BLOCK-4fdf5e9b96e3979a,test,50
P2,2,4,1,A2,BLOCK-233b8085670d6d52,validation,50
P2,2,4,1,A3,BLOCK-14bb5200a643a03d,train,50
P2,2,4,2,A1,BLOCK-34826b13f8b5b58c,train,50
P2,2,4,2,A2,BLOCK-7791faa77fece441,test,50
P2,2,4,2,A3,BLOCK-85d3ea979c5675d9,validation,50
P2,2,5,0,A1,BLOCK-65f44a8827c0b400,validation,50
P2,2,5,0,A2,BLOCK-b9502c120fd41f7f,train,50
P2,2,5,0,A3,BLOCK-25e259bea923b3db,test,50
P2,2,5,1,A1,BLOCK-eccd4775037eff26,test,50
P2,2,5,1,A2,BLOCK-47c67ddd167f1fb6,validation,50
P2,2,5,1,A3,BLOCK-ff664c1eeda810b7,train,50
P2,2,5,2,A1,BLOCK-0915106dc251950d,train,50
P2,2,5,2,A2,BLOCK-d91010f98db14c8a,test,50
P2,2,5,2,A3,BLOCK-15ca8581c1b759af,validation,50
P2,2,6,0,A1,BLOCK-962f9e96c18500e0,validation,50
P2,2,6,0,A2,BLOCK-b1345b982d038651,train,50
P2,2,6,0,A3,BLOCK-336ed0c6e282a04c,test,50
P2,2,6,1,A1,BLOCK-c396aaa848fd2d0c,test,50
P2,2,6,1,A2,BLOCK-7c7d2731f9aaf566,validation,50
P2,2,6,1,A3,BLOCK-71f736f00c2f1457,train,50
P2,2,6,2,A1,BLOCK-05858919f0dee161,train,50
P2,2,6,2,A2,BLOCK-1fe663fcb7845f32,test,50
P2,2,6,2,A3,BLOCK-583ede3882b3415a,validation,50
P2,2,7,0,A1,BLOCK-0d6d65aeb54cafc3,validation,50
P2,2,7,0,A2,BLOCK-e6914ba5d5d1257b,train,50
P2,2,7,0,A3,BLOCK-4396a3b4ec6cf8ac,test,50
P2,2,7,1,A1,BLOCK-2e76e4cec8413c5d,test,50
P2,2,7,1,A2,BLOCK-89818c510a4570ab,validation,50
P2,2,7,1,A3,BLOCK-32cb356caf9d499a,train,50
P2,2,7,2,A1,BLOCK-60c8f97a2a800951,train,50
P2,2,7,2,A2,BLOCK-e1f4b0f360bcef2d,test,50
P2,2,7,2,A3,BLOCK-137a36265d82df51,validation,50
P3,0,1,0,A1,BLOCK-31a7f1c7fba974f1,test,50
P3,0,1,0,A2,BLOCK-e115fd78fa2ebf5b,validation,50
P3,0,1,0,A3,BLOCK-18f40a7e460b30a2,train,50
P3,0,1,1,A1,BLOCK-73d5b80e9b12d0ad,train,50
P3,0,1,1,A2,BLOCK-172f2f20a26c6bc7,test,50
P3,0,1,1,A3,BLOCK-2c7ede0e83005361,validation,50
P3,0,1,2,A1,BLOCK-8b18bde25af4e01f,validation,50
P3,0,1,2,A2,BLOCK-39f71428962deb4e,train,50
P3,0,1,2,A3,BLOCK-6cc0d0733ea9b6ca,test,50
P3,0,2,0,A1,BLOCK-7bb877fb4014f63c,test,50
P3,0,2,0,A2,BLOCK-9868358e3499ef70,validation,50
P3,0,2,0,A3,BLOCK-05bc08a1c55287b7,train,50
P3,0,2,1,A1,BLOCK-931b18da9f7cc3f7,train,50
P3,0,2,1,A2,BLOCK-4ad635d0aef7561a,test,50
P3,0,2,1,A3,BLOCK-7c05d9a86fc146e6,validation,50
P3,0,2,2,A1,BLOCK-3c5334b30174f4f3,validation,50
P3,0,2,2,A2,BLOCK-16683e5afc97ddac,train,50
P3,0,2,2,A3,BLOCK-b69fb05164f55ff2,test,50
P3,0,3,0,A1,BLOCK-7c4d3a181835e0e6,test,50
P3,0,3,0,A2,BLOCK-ecf1b6c22cecc535,validation,50
P3,0,3,0,A3,BLOCK-4fa6f8de9f8e1aa7,train,50
P3,0,3,1,A1,BLOCK-869ea67c1f721bb6,train,50
P3,0,3,1,A2,BLOCK-e551d8b8fc0cb81e,test,50
P3,0,3,1,A3,BLOCK-90b7ddd06b603f29,validation,50
P3,0,3,2,A1,BLOCK-1410d330646aeba9,validation,50
P3,0,3,2,A2,BLOCK-5a5e6c9b0b5d3117,train,50
P3,0,3,2,A3,BLOCK-886aa727de140733,test,50
P3,0,4,0,A1,BLOCK-71b579e0f4676c7a,test,50
P3,0,4,0,A2,BLOCK-7eea03549e79b22d,validation,50
