position,fold,seed,TagID,ER,surface,paired_unit_id,condition_block_identifier,row_count,split_assignment,source_data_fingerprint
P1,1,42,3,0,A3,pair_3eacb39272786cb649073b57,cond_00f56c6a3c905418c319fa0a,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,1,A1,pair_b05ffc5f2434aa1959c8e0e2,cond_e66626e0b9bc860ffb5ce94b,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,1,A2,pair_c1e269e7190fde5d9ff5f552,cond_db3c9c8f91fb2e0dd6253fcb,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,1,A3,pair_c79f6601e030ebd2067ec6de,cond_7b13c9810dee86356a9ae21f,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,2,A1,pair_f86ae0f5b1a7a3e4209af1ca,cond_6fde066912a160f675b2a0ed,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,2,A2,pair_77397d69b88b179e153c702d,cond_b7a64802011a9ead5e056d18,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,2,A3,pair_e2b043df160816f5fdd81e64,cond_086ab69421b1c07f05f281f4,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,0,A1,pair_b1310b19d663beb4cbd53c8d,cond_cf8fb7bec10733c9b008c498,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,0,A2,pair_bdf1f6e8472c8d76aff3d040,cond_d391d1eef338b6b4a345a2dc,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,0,A3,pair_c05f65484ff968fcafd730cc,cond_203c019ca27d2803657df495,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,1,A1,pair_ba2afdeb468b71e1fef11175,cond_621c30777e0c188d22417cc8,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,1,A2,pair_ed40a5cb6d8516ea236f9635,cond_407780b27295d4132a5780b7,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,1,A3,pair_65532ec015bcdac5660bf184,cond_21fd3e708cd6ba61568e4c8a,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,2,A1,pair_1f511e7414737e2ee9b3081d,cond_c87f7bb2646b783920ca60d1,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,2,A2,pair_773426702f1c21a4c6e48ed3,cond_1c7a14e41fb4021ea64945a4,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,4,2,A3,pair_a75386d67e75529c96c29363,cond_5cdfcd870304b843944873e0,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,0,A1,pair_5be8a8178869acf2fd392ec4,cond_09558ec81bb6629d45b45512,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,0,A2,pair_6e2ead72cd9dbc69d6565965,cond_5c8cfec8d353cafc2c26a72d,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,0,A3,pair_871635859f67d9a71834fe97,cond_4cec670f5ba16630e4fc7ee6,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,1,A1,pair_0274a528ad1503c9c724e849,cond_f572f698aebf9cdebf02b13d,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,1,A2,pair_a991542913bc99245846b8bb,cond_2beb701dfaad197435d12a46,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,1,A3,pair_c1bbfbee02058f5123e30914,cond_e43a281ee6b5ae64534947c2,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,2,A1,pair_c420084c739b2c3df0e2403a,cond_26f9ce9085de0e15548c7b81,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,2,A2,pair_ec7050f28c24b4d9438b3c11,cond_43b83d38661134a474f35f7e,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,5,2,A3,pair_e69d2fed27502508d2cfd2a3,cond_8a95e2baeaeb48d2cd3f6933,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,0,A1,pair_18e7a3e81d6967e4d9cce644,cond_fba0688d7d6360c63f05e23a,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,0,A2,pair_273288675ae8b2c187bdd96f,cond_7cf6dc581c3302ef6f8ac2ee,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,0,A3,pair_fe4a44a4ff076e943a9f4977,cond_ad80b994a6046d4e0358afde,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,1,A1,pair_dbc85ee49b40dfb59b2b3074,cond_90878808f97fbbc6f0fe33d8,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,1,A2,pair_63f060c2cbd512822fe3837a,cond_09bd75973b623e4b61402cb0,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,1,A3,pair_b8f90d87cc54a439ded59026,cond_0fd0539143c9110d17012fbb,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,2,A1,pair_1bed42af3000f233382a5c7b,cond_73c24950a434bad5c971b8c8,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,2,A2,pair_6d15d0b32d43280acc1e8a6d,cond_b184801047456c676530ec72,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,6,2,A3,pair_42c1058368bca566a09472ce,cond_02c014be6973e720cf8873a6,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,0,A1,pair_d04dcd3928a58743e6e6006b,cond_78cf850ab186d3e9644d3b39,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,0,A2,pair_cec49f997f1cc2a0670bb3f7,cond_db4320b66911ce0f2b12995f,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,0,A3,pair_8fb655e536f09ad440a87f32,cond_0e61a562c497ffbe242399ac,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,1,A1,pair_a4315b7fd33b27273553b98c,cond_a22e3ee455379a9981852cd0,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,1,A2,pair_83f2b0a41832f7cc2beadddb,cond_d2984a061f949a5409118dab,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,1,A3,pair_6fa8f810b8c8d919bc0c6912,cond_acef58cd9a362a77ff87967e,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,2,A1,pair_698cedf5ae14bb1ac684329a,cond_9398ddec2cce693831c1d28a,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,2,A2,pair_d52cbfba64fa589867ff1a98,cond_57b8d989b0ee9aec07a877a1,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,7,2,A3,pair_a9cdce19ce89b76af200f9e2,cond_501b3e004b141c494b6a802a,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,0,A1,pair_a5d33fae02f85179aed284d5,cond_6b110eda6a1721f2fe622d6e,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,0,A2,pair_06f946129d85357eaab1f4a3,cond_a475e2216d1de08e81c33715,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,0,A3,pair_6cff4c54c31d1f172f5ebf9a,cond_f83ba3fd234667486415d5c5,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,1,A1,pair_7ca7da9af7b85c410bd18ebf,cond_0ba658e36aab9aed09c7a7cb,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,1,A2,pair_e195f2804f0b5f8f422f131d,cond_ccc32713cb7978b402839482,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,1,A3,pair_9a49df49f22a0194b25a4514,cond_7a4364260b6d37d2d44d95d8,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,2,A1,pair_9b1812c4a2e2fe2310dae181,cond_729499e930b1f70d09106235,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,2,A2,pair_68d027990684c88efb84519d,cond_49a96ce96cfa0edde681784f,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,1,2,A3,pair_0b62c82a069fc0ea6591502f,cond_4a2bbb89f069bfe76c027288,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,0,A1,pair_81bc687f4097da257888b87f,cond_7ab3873195b46933af17e636,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,0,A2,pair_94f4ffc15b3d16f11a0aa0e8,cond_6c03c34abd8e07aaa560bce0,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,0,A3,pair_a081c99efd1a83e18a18e6a2,cond_9ed494c7dc9f767bcaec40fc,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,1,A1,pair_480c0f52bb6b43895bc3ccb0,cond_2289c272e58f3013ff3b1550,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,1,A2,pair_875b84cf0bd76e184ddc7573,cond_40d3982ec75d954bec7d95c5,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,1,A3,pair_a77ea0c9589b62285bf789e7,cond_50bb947080864fbeabdd2f9a,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,2,A1,pair_4df7117ad193f76bb25fe0ef,cond_16e3dbeb00786d212d89d9bd,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,2,A2,pair_8b21707272e156f393347b93,cond_1b0f11657f0627f6caed58ff,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,2,2,A3,pair_db0456b8b9d4a4fc84e2beed,cond_e4d2ecd3131ea48fd73ca16a,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,0,A1,pair_1442022fc6c5e262216c2073,cond_48a9e211bf5e3febd7cb18a1,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,0,A2,pair_c1dec54e94974c054908f2c3,cond_32eb7df326d01e8d260d7fc1,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,0,A3,pair_3eacb39272786cb649073b57,cond_00f56c6a3c905418c319fa0a,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,1,A1,pair_b05ffc5f2434aa1959c8e0e2,cond_e66626e0b9bc860ffb5ce94b,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,1,A2,pair_c1e269e7190fde5d9ff5f552,cond_db3c9c8f91fb2e0dd6253fcb,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,1,A3,pair_c79f6601e030ebd2067ec6de,cond_7b13c9810dee86356a9ae21f,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,2,A1,pair_f86ae0f5b1a7a3e4209af1ca,cond_6fde066912a160f675b2a0ed,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,2,A2,pair_77397d69b88b179e153c702d,cond_b7a64802011a9ead5e056d18,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,3,2,A3,pair_e2b043df160816f5fdd81e64,cond_086ab69421b1c07f05f281f4,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,0,A1,pair_b1310b19d663beb4cbd53c8d,cond_cf8fb7bec10733c9b008c498,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,0,A2,pair_bdf1f6e8472c8d76aff3d040,cond_d391d1eef338b6b4a345a2dc,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,0,A3,pair_c05f65484ff968fcafd730cc,cond_203c019ca27d2803657df495,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,1,A1,pair_ba2afdeb468b71e1fef11175,cond_621c30777e0c188d22417cc8,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,1,A2,pair_ed40a5cb6d8516ea236f9635,cond_407780b27295d4132a5780b7,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,1,A3,pair_65532ec015bcdac5660bf184,cond_21fd3e708cd6ba61568e4c8a,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,2,A1,pair_1f511e7414737e2ee9b3081d,cond_c87f7bb2646b783920ca60d1,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,2,A2,pair_773426702f1c21a4c6e48ed3,cond_1c7a14e41fb4021ea64945a4,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,4,2,A3,pair_a75386d67e75529c96c29363,cond_5cdfcd870304b843944873e0,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,0,A1,pair_5be8a8178869acf2fd392ec4,cond_09558ec81bb6629d45b45512,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,0,A2,pair_6e2ead72cd9dbc69d6565965,cond_5c8cfec8d353cafc2c26a72d,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,0,A3,pair_871635859f67d9a71834fe97,cond_4cec670f5ba16630e4fc7ee6,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,1,A1,pair_0274a528ad1503c9c724e849,cond_f572f698aebf9cdebf02b13d,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,1,A2,pair_a991542913bc99245846b8bb,cond_2beb701dfaad197435d12a46,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,1,A3,pair_c1bbfbee02058f5123e30914,cond_e43a281ee6b5ae64534947c2,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,2,A1,pair_c420084c739b2c3df0e2403a,cond_26f9ce9085de0e15548c7b81,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,2,A2,pair_ec7050f28c24b4d9438b3c11,cond_43b83d38661134a474f35f7e,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,5,2,A3,pair_e69d2fed27502508d2cfd2a3,cond_8a95e2baeaeb48d2cd3f6933,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,0,A1,pair_18e7a3e81d6967e4d9cce644,cond_fba0688d7d6360c63f05e23a,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,0,A2,pair_273288675ae8b2c187bdd96f,cond_7cf6dc581c3302ef6f8ac2ee,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,0,A3,pair_fe4a44a4ff076e943a9f4977,cond_ad80b994a6046d4e0358afde,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,1,A1,pair_dbc85ee49b40dfb59b2b3074,cond_90878808f97fbbc6f0fe33d8,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,1,A2,pair_63f060c2cbd512822fe3837a,cond_09bd75973b623e4b61402cb0,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,1,A3,pair_b8f90d87cc54a439ded59026,cond_0fd0539143c9110d17012fbb,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,2,A1,pair_1bed42af3000f233382a5c7b,cond_73c24950a434bad5c971b8c8,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,2,A2,pair_6d15d0b32d43280acc1e8a6d,cond_b184801047456c676530ec72,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,6,2,A3,pair_42c1058368bca566a09472ce,cond_02c014be6973e720cf8873a6,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,0,A1,pair_d04dcd3928a58743e6e6006b,cond_78cf850ab186d3e9644d3b39,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,0,A2,pair_cec49f997f1cc2a0670bb3f7,cond_db4320b66911ce0f2b12995f,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,0,A3,pair_8fb655e536f09ad440a87f32,cond_0e61a562c497ffbe242399ac,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,1,A1,pair_a4315b7fd33b27273553b98c,cond_a22e3ee455379a9981852cd0,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,1,A2,pair_83f2b0a41832f7cc2beadddb,cond_d2984a061f949a5409118dab,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,1,A3,pair_6fa8f810b8c8d919bc0c6912,cond_acef58cd9a362a77ff87967e,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,2,A1,pair_698cedf5ae14bb1ac684329a,cond_9398ddec2cce693831c1d28a,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,2,A2,pair_d52cbfba64fa589867ff1a98,cond_57b8d989b0ee9aec07a877a1,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,43,7,2,A3,pair_a9cdce19ce89b76af200f9e2,cond_501b3e004b141c494b6a802a,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,0,A1,pair_a5d33fae02f85179aed284d5,cond_6b110eda6a1721f2fe622d6e,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,0,A2,pair_06f946129d85357eaab1f4a3,cond_a475e2216d1de08e81c33715,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,0,A3,pair_6cff4c54c31d1f172f5ebf9a,cond_f83ba3fd234667486415d5c5,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,1,A1,pair_7ca7da9af7b85c410bd18ebf,cond_0ba658e36aab9aed09c7a7cb,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,1,A2,pair_e195f2804f0b5f8f422f131d,cond_ccc32713cb7978b402839482,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,1,A3,pair_9a49df49f22a0194b25a4514,cond_7a4364260b6d37d2d44d95d8,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,2,A1,pair_9b1812c4a2e2fe2310dae181,cond_729499e930b1f70d09106235,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,2,A2,pair_68d027990684c88efb84519d,cond_49a96ce96cfa0edde681784f,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,1,2,A3,pair_0b62c82a069fc0ea6591502f,cond_4a2bbb89f069bfe76c027288,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,0,A1,pair_81bc687f4097da257888b87f,cond_7ab3873195b46933af17e636,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,0,A2,pair_94f4ffc15b3d16f11a0aa0e8,cond_6c03c34abd8e07aaa560bce0,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,0,A3,pair_a081c99efd1a83e18a18e6a2,cond_9ed494c7dc9f767bcaec40fc,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,1,A1,pair_480c0f52bb6b43895bc3ccb0,cond_2289c272e58f3013ff3b1550,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,1,A2,pair_875b84cf0bd76e184ddc7573,cond_40d3982ec75d954bec7d95c5,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,1,A3,pair_a77ea0c9589b62285bf789e7,cond_50bb947080864fbeabdd2f9a,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,2,A1,pair_4df7117ad193f76bb25fe0ef,cond_16e3dbeb00786d212d89d9bd,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,2,A2,pair_8b21707272e156f393347b93,cond_1b0f11657f0627f6caed58ff,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,44,2,2,A3,pair_db0456b8b9d4a4fc84e2beed,cond_e4d2ecd3131ea48fd73ca16a,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
