method,seed,true_label,predicted_label,block_count
irm,43,2,1,0
irm,43,2,2,0
irm,43,2,3,5
irm,43,2,4,2
irm,43,2,5,0
irm,43,2,6,1
irm,43,3,0,1
irm,43,3,1,1
irm,43,3,2,0
irm,43,3,3,6
irm,43,3,4,1
irm,43,3,5,0
irm,43,3,6,0
irm,43,4,0,0
irm,43,4,1,1
irm,43,4,2,0
irm,43,4,3,5
irm,43,4,4,2
irm,43,4,5,1
irm,43,4,6,0
irm,43,5,0,0
irm,43,5,1,0
irm,43,5,2,0
irm,43,5,3,8
irm,43,5,4,1
irm,43,5,5,0
irm,43,5,6,0
irm,43,6,0,2
irm,43,6,1,0
irm,43,6,2,1
irm,43,6,3,4
irm,43,6,4,1
irm,43,6,5,0
irm,43,6,6,1
irm,44,0,0,0
irm,44,0,1,0
irm,44,0,2,0
irm,44,0,3,6
irm,44,0,4,0
irm,44,0,5,0
irm,44,0,6,3
irm,44,1,0,1
irm,44,1,1,0
irm,44,1,2,2
irm,44,1,3,5
irm,44,1,4,0
irm,44,1,5,0
irm,44,1,6,1
irm,44,2,0,0
irm,44,2,1,0
irm,44,2,2,0
irm,44,2,3,6
irm,44,2,4,0
irm,44,2,5,0
irm,44,2,6,3
irm,44,3,0,0
irm,44,3,1,0
irm,44,3,2,1
irm,44,3,3,7
irm,44,3,4,0
irm,44,3,5,0
irm,44,3,6,1
irm,44,4,0,0
irm,44,4,1,0
irm,44,4,2,1
irm,44,4,3,6
irm,44,4,4,0
irm,44,4,5,0
irm,44,4,6,2
irm,44,5,0,0
irm,44,5,1,1
irm,44,5,2,0
irm,44,5,3,8
irm,44,5,4,0
irm,44,5,5,0
irm,44,5,6,0
irm,44,6,0,0
irm,44,6,1,0
irm,44,6,2,0
irm,44,6,3,7
irm,44,6,4,0
irm,44,6,5,0
irm,44,6,6,2
irm,45,0,0,3
irm,45,0,1,0
irm,45,0,2,0
irm,45,0,3,4
irm,45,0,4,0
irm,45,0,5,0
irm,45,0,6,2
irm,45,1,0,2
irm,45,1,1,1
irm,45,1,2,0
irm,45,1,3,5
irm,45,1,4,0
irm,45,1,5,0
irm,45,1,6,1
irm,45,2,0,3
irm,45,2,1,1
irm,45,2,2,0
irm,45,2,3,2
irm,45,2,4,1
irm,45,2,5,1
irm,45,2,6,1
irm,45,3,0,3
irm,45,3,1,1
irm,45,3,2,0
irm,45,3,3,3
irm,45,3,4,0
irm,45,3,5,1
irm,45,3,6,1
irm,45,4,0,1
irm,45,4,1,1
irm,45,4,2,0
irm,45,4,3,4
irm,45,4,4,1
irm,45,4,5,1
irm,45,4,6,1
irm,45,5,0,3
irm,45,5,1,0
irm,45,5,2,0
irm,45,5,3,6
irm,45,5,4,0
irm,45,5,5,0
irm,45,5,6,0
irm,45,6,0,1
irm,45,6,1,0
irm,45,6,2,0
irm,45,6,3,5
irm,45,6,4,0
irm,45,6,5,1
irm,45,6,6,2
irm,46,0,0,0
irm,46,0,1,0
irm,46,0,2,0
irm,46,0,3,7
irm,46,0,4,2
irm,46,0,5,0
irm,46,0,6,0
irm,46,1,0,0
irm,46,1,1,0
irm,46,1,2,2
irm,46,1,3,6
irm,46,1,4,1
irm,46,1,5,0
irm,46,1,6,0
irm,46,2,0,0
irm,46,2,1,0
irm,46,2,2,1
irm,46,2,3,7
irm,46,2,4,1
irm,46,2,5,0
irm,46,2,6,0
irm,46,3,0,0
irm,46,3,1,0
irm,46,3,2,0
irm,46,3,3,9
irm,46,3,4,0
irm,46,3,5,0
irm,46,3,6,0
irm,46,4,0,0
irm,46,4,1,0
irm,46,4,2,1
irm,46,4,3,8
irm,46,4,4,0
irm,46,4,5,0
irm,46,4,6,0
irm,46,5,0,0
irm,46,5,1,0
irm,46,5,2,0
irm,46,5,3,9
irm,46,5,4,0
irm,46,5,5,0
irm,46,5,6,0
irm,46,6,0,0
irm,46,6,1,0
irm,46,6,2,0
irm,46,6,3,7
irm,46,6,4,0
irm,46,6,5,1
irm,46,6,6,1
