annealing_stage,development_fold,effective_lambda,epoch,execution_stage,fold_id,gradient_norm,held_position,held_source_position,lambda,mean_training_irm_penalty,mean_training_objective,mean_training_tagid_risk,method,per_environment_training_risk,per_environment_validation_risk,seed,selected_checkpoint_state,target_position,training_phase,training_positions,validation_accuracy,validation_irm_penalty,validation_macro_f1
ERM_WARMUP,S1,0.0,12,SOURCE_LOPO_DEVELOPMENT,S1,4.00316220251273,P1,P1,,0.0,0.21024263938268026,0.21024263938268026,erm,"{""P2"": 0.20720264406431288, ""P3"": 0.21328263779481252}","{""P2"": 2.300031900405884, ""P3"": 2.1634204387664795}",42,False,,inner_selection,P2_P3,0.24285714285714285,0.5608493089675903,0.24431092863166673
ERM_WARMUP,S1,0.0,13,SOURCE_LOPO_DEVELOPMENT,S1,3.1428336886761326,P1,P1,,0.0,0.16206085000719342,0.16206085000719342,erm,"{""P2"": 0.15803162069547744, ""P3"": 0.16609007968789055}","{""P2"": 2.3129937648773193, ""P3"": 2.1758060455322266}",42,False,,inner_selection,P2_P3,0.2842857142857143,0.6115012168884277,0.25714540336696967
ERM_WARMUP,S1,0.0,14,SOURCE_LOPO_DEVELOPMENT,S1,2.8655435330913255,P1,P1,,0.0,0.13017785955043065,0.13017785955043065,erm,"{""P2"": 0.12568858992485774, ""P3"": 0.13466712708984102}","{""P2"": 2.437948703765869, ""P3"": 2.185147285461426}",42,False,,inner_selection,P2_P3,0.2604761904761905,0.8010910749435425,0.24524292213546822
ERM_WARMUP,S1,0.0,15,SOURCE_LOPO_DEVELOPMENT,S1,2.155437710283311,P1,P1,,0.0,0.10319646054790134,0.10319646054790134,erm,"{""P2"": 0.09721343044723783, ""P3"": 0.10917949110269547}","{""P2"": 2.4534964561462402, ""P3"": 2.296146869659424}",42,False,,inner_selection,P2_P3,0.23666666666666666,1.0147716999053955,0.22411453929780617
ERM_WARMUP,S1,0.0,16,SOURCE_LOPO_DEVELOPMENT,S1,2.1872884466250717,P1,P1,,0.0,0.08857051293055217,0.08857051293055217,erm,"{""P2"": 0.08254945681208656, ""P3"": 0.0945915695031484}","{""P2"": 2.442124605178833, ""P3"": 2.2560007572174072}",42,False,,inner_selection,P2_P3,0.259047619047619,0.918562650680542,0.24570193141757476
ERM_WARMUP,S1,0.0,17,SOURCE_LOPO_DEVELOPMENT,S1,1.9317592347558592,P1,P1,,0.0,0.07391632863453457,0.07391632863453457,erm,"{""P2"": 0.06860434919595719, ""P3"": 0.07922830743449075}","{""P2"": 2.534153938293457, ""P3"": 2.291412830352783}",42,False,,inner_selection,P2_P3,0.2638095238095238,1.12648344039917,0.24912081121515597
ERM_WARMUP,S1,0.0,1,SOURCE_LOPO_DEVELOPMENT,S1,1.0380983533749482,P1,P1,,0.0,1.9501686568487258,1.9501686568487258,erm,"{""P2"": 1.9476706888562156, ""P3"": 1.9526666199971758}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,2,SOURCE_LOPO_DEVELOPMENT,S1,0.4099527806685262,P1,P1,,0.0,1.8079530046856593,1.8079530046856593,erm,"{""P2"": 1.8102467646674505, ""P3"": 1.805659251440139}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,3,SOURCE_LOPO_DEVELOPMENT,S1,1.8614049614284696,P1,P1,,0.0,1.5164025474729992,1.5164025474729992,erm,"{""P2"": 1.5282269930461096, ""P3"": 1.5045780825236488}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,4,SOURCE_LOPO_DEVELOPMENT,S1,3.2694761853715777,P1,P1,,0.0,1.2551078392210462,1.2551078392210462,erm,"{""P2"": 1.2789060404187158, ""P3"": 1.2313096477114964}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,5,SOURCE_LOPO_DEVELOPMENT,S1,5.0118723731867,P1,P1,,0.0,1.046062612155127,1.046062612155127,erm,"{""P2"": 1.0770666905811854, ""P3"": 1.015058540995159}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,6,SOURCE_LOPO_DEVELOPMENT,S1,5.816679917852259,P1,P1,,0.0,0.8509971639088222,0.8509971639088222,erm,"{""P2"": 0.886054805914561, ""P3"": 0.8159395204271589}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,7,SOURCE_LOPO_DEVELOPMENT,S1,10.550665700508919,P1,P1,,0.0,0.8667113461570134,0.8667113461570134,erm,"{""P2"": 0.8973466937504118, ""P3"": 0.8360760073056297}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,8,SOURCE_LOPO_DEVELOPMENT,S1,4.621890408079335,P1,P1,,0.0,0.5943510301529416,0.5943510301529416,erm,"{""P2"": 0.6255614764728243, ""P3"": 0.5631405714579991}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,9,SOURCE_LOPO_DEVELOPMENT,S1,3.7707588220510373,P1,P1,,0.0,0.461055732378884,0.461055732378884,erm,"{""P2"": 0.4853194683884817, ""P3"": 0.4367919835211739}",,42,True,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,1,SOURCE_LOPO_DEVELOPMENT,S1,1.3046214903789157,P1,P1,1.0,0.013810362025563206,1.9640323162078857,1.9640323162078857,irm,"{""P2"": 1.9554194468543642, ""P3"": 1.9726452321097965}","{""P2"": 1.952327013015747, ""P3"": 1.9348905086517334}",42,True,,inner_selection,P2_P3,0.11904761904761904,9.011659130919725e-05,0.05710283758694411
ERM_WARMUP,S1,0.0,2,SOURCE_LOPO_DEVELOPMENT,S1,0.42670080423900786,P1,P1,1.0,0.007861403003334998,1.8548300466083345,1.8548300466083345,irm,"{""P2"": 1.8450608798435757, ""P3"": 1.8645992235910325}","{""P2"": 1.9366024732589722, ""P3"": 1.9127459526062012}",42,True,,inner_selection,P2_P3,0.15,0.0003216968907508999,0.1221864027881665
ERM_WARMUP,S1,0.0,3,SOURCE_LOPO_DEVELOPMENT,S1,0.6384215206567346,P1,P1,1.0,0.06433099618979862,1.6673386373974028,1.6673386373974028,irm,"{""P2"": 1.6509948074249994, ""P3"": 1.6836824862162272}","{""P2"": 1.9341486692428589, ""P3"": 1.8726476430892944}",42,False,,inner_selection,P2_P3,0.1442857142857143,0.0016983849927783012,0.11353746113749412
ERM_WARMUP,S1,0.0,4,SOURCE_LOPO_DEVELOPMENT,S1,2.755509209642822,P1,P1,1.0,0.16233615974585217,1.3907601233891078,1.3907601233891078,irm,"{""P2"": 1.3749347748075214, ""P3"": 1.4065854894547236}","{""P2"": 1.9690924882888794, ""P3"": 1.8671002388000488}",42,True,,inner_selection,P2_P3,0.29619047619047617,0.01589849404990673,0.2624618531471094
ERM_WARMUP,S1,0.0,5,SOURCE_LOPO_DEVELOPMENT,S1,3.0939673179860008,P1,P1,1.0,0.3012208569617498,1.1509387788318453,1.1509387788318453,irm,"{""P2"": 1.1442559603282383, ""P3"": 1.157621616181873}","{""P2"": 2.0771541595458984, ""P3"": 1.8983815908432007}",42,False,,inner_selection,P2_P3,0.1619047619047619,0.08205996453762054,0.1306478076895748
ERM_WARMUP,S1,0.0,6,SOURCE_LOPO_DEVELOPMENT,S1,4.531406737934611,P1,P1,1.0,0.4049137875011989,0.9520919218517485,0.9520919218517485,irm,"{""P2"": 0.9546273564157032, ""P3"": 0.9495564887637183}","{""P2"": 2.0556230545043945, ""P3"": 1.927616000175476}",42,False,,inner_selection,P2_P3,0.21904761904761905,0.08867784589529037,0.18894090077823206
ERM_WARMUP,S1,0.0,7,SOURCE_LOPO_DEVELOPMENT,S1,3.7173358786950903,P1,P1,1.0,0.5010728823570978,0.749969622294108,0.749969622294108,irm,"{""P2"": 0.7560346531867981, ""P3"": 0.743904587768373}","{""P2"": 2.1651499271392822, ""P3"": 1.9977682828903198}",42,False,,inner_selection,P2_P3,0.21619047619047618,0.2165302187204361,0.17720340298849407
ERM_WARMUP,S1,0.0,8,SOURCE_LOPO_DEVELOPMENT,S1,6.754600739790123,P1,P1,1.0,0.4396253372374035,0.6390818598156883,0.6390818598156883,irm,"{""P2"": 0.641055767309098, ""P3"": 0.6371079501651582}","{""P2"": 2.1722464561462402, ""P3"": 2.008835554122925}",42,False,,inner_selection,P2_P3,0.1919047619047619,0.22285674512386322,0.1998941330967983
ERM_WARMUP,S1,0.0,9,SOURCE_LOPO_DEVELOPMENT,S1,3.4339857981411948,P1,P1,1.0,0.48352619965871174,0.45592881685211545,0.45592881685211545,irm,"{""P2"": 0.46196567103976294, ""P3"": 0.4498919535818554}","{""P2"": 2.167833089828491, ""P3"": 1.9930475950241089}",42,True,,inner_selection,P2_P3,0.28285714285714286,0.2242354452610016,0.26954037054820246
ERM_WARMUP,S1,0.0,10,SOURCE_LOPO_DEVELOPMENT,S1,3.2029545157362045,P1,P1,1.0,0.4128780530747913,0.34367869558788483,0.34367869558788483,irm,"{""P2"": 0.346866401831309, ""P3"": 0.3404909929775056}","{""P2"": 2.2264504432678223, ""P3"": 2.0566439628601074}",42,False,,inner_selection,P2_P3,0.21619047619047618,0.3437293469905853,0.20972809790059924
ERM_WARMUP,S1,0.0,11,SOURCE_LOPO_DEVELOPMENT,S1,4.643666088828255,P1,P1,1.0,0.32484593953405105,0.2753545139800935,0.2753545139800935,irm,"{""P2"": 0.27498851730709983, ""P3"": 0.2757205024787358}","{""P2"": 2.350346803665161, ""P3"": 2.1359915733337402}",42,False,,inner_selection,P2_P3,0.25476190476190474,0.5899271368980408,0.21325506994196397
ERM_WARMUP,S1,0.0,12,SOURCE_LOPO_DEVELOPMENT,S1,4.00316220251273,P1,P1,1.0,0.2485633000305721,0.21024263938268026,0.21024263938268026,irm,"{""P2"": 0.20720264406431288, ""P3"": 0.21328263779481252}","{""P2"": 2.300031900405884, ""P3"": 2.1634204387664795}",42,False,,inner_selection,P2_P3,0.24285714285714285,0.5608493089675903,0.24431092863166673
POST_ANNEAL,S1,1.0,13,SOURCE_LOPO_DEVELOPMENT,S1,2.5847172265964637,P1,P1,1.0,0.18424805104732514,0.16578831241244363,0.16154930415607635,irm,"{""P2"": 0.15692072507880983, ""P3"": 0.16617788323334284}","{""P2"": 2.3708577156066895, ""P3"": 2.1780169010162354}",42,False,,inner_selection,P2_P3,0.21142857142857144,0.6695317625999451,0.2099214378865034
POST_ANNEAL,S1,1.0,14,SOURCE_LOPO_DEVELOPMENT,S1,1.9771567375316739,P1,P1,1.0,0.12822874460901532,0.12626641956113632,0.1243040954215186,irm,"{""P2"": 0.11836768803142365, ""P3"": 0.130240504358496}","{""P2"": 2.503596067428589, ""P3"": 2.2645416259765625}",42,False,,inner_selection,P2_P3,0.28714285714285714,1.0581140518188477,0.2521000314001752
POST_ANNEAL,S1,1.0,15,SOURCE_LOPO_DEVELOPMENT,S1,1.6970272364334407,P1,P1,1.0,0.08819533484322684,0.09288167659725462,0.09756801744302114,irm,"{""P2"": 0.09178587804238002, ""P3"": 0.10335015702815283}","{""P2"": 2.4481072425842285, ""P3"": 2.2621266841888428}",42,False,,inner_selection,P2_P3,0.23857142857142857,0.9373060464859009,0.2227720795449308
POST_ANNEAL,S1,1.0,16,SOURCE_LOPO_DEVELOPMENT,S1,0.8420950433815295,P1,P1,1.0,0.06054525853622527,0.06796276624004047,0.07538027326265971,irm,"{""P2"": 0.06834076822513625, ""P3"": 0.0824197777112325}","{""P2"": 2.498358964920044, ""P3"": 2.288684844970703}",42,False,,inner_selection,P2_P3,0.2357142857142857,1.047855257987976,0.2369992862598934
POST_ANNEAL,S1,1.0,17,SOURCE_LOPO_DEVELOPMENT,S1,1.2366070980489514,P1,P1,1.0,0.04645523084061486,0.05592453354880923,0.06539383693819954,irm,"{""P2"": 0.0570975631191617, ""P3"": 0.07369011175774393}","{""P2"": 2.5710604190826416, ""P3"": 2.3055827617645264}",42,False,,inner_selection,P2_P3,0.21142857142857144,1.2092374563217163,0.21135945417981586
ERM_WARMUP,S1,0.0,1,SOURCE_LOPO_DEVELOPMENT,S1,1.0380983533749482,P1,P1,1.0,0.010219383332028334,1.9501686568487258,1.9501686568487258,irm,"{""P2"": 1.9476706888562156, ""P3"": 1.9526666199971758}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,2,SOURCE_LOPO_DEVELOPMENT,S1,0.4099527806685262,P1,P1,1.0,0.01814783812988372,1.8079530046856593,1.8079530046856593,irm,"{""P2"": 1.8102467646674505, ""P3"": 1.805659251440139}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,3,SOURCE_LOPO_DEVELOPMENT,S1,1.8614049614284696,P1,P1,1.0,0.10475661810428377,1.5164025474729992,1.5164025474729992,irm,"{""P2"": 1.5282269930461096, ""P3"": 1.5045780825236488}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,4,SOURCE_LOPO_DEVELOPMENT,S1,3.2694761853715777,P1,P1,1.0,0.21689213045059688,1.2551078392210462,1.2551078392210462,irm,"{""P2"": 1.2789060404187158, ""P3"": 1.2313096477114964}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,5,SOURCE_LOPO_DEVELOPMENT,S1,5.0118723731867,P1,P1,1.0,0.31255342400263225,1.046062612155127,1.046062612155127,irm,"{""P2"": 1.0770666905811854, ""P3"": 1.015058540995159}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,6,SOURCE_LOPO_DEVELOPMENT,S1,5.816679917852259,P1,P1,1.0,0.39963397612647406,0.8509971639088222,0.8509971639088222,irm,"{""P2"": 0.886054805914561, ""P3"": 0.8159395204271589}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,7,SOURCE_LOPO_DEVELOPMENT,S1,10.550665700508919,P1,P1,1.0,0.23048955317527528,0.8667113461570134,0.8667113461570134,irm,"{""P2"": 0.8973466937504118, ""P3"": 0.8360760073056297}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,8,SOURCE_LOPO_DEVELOPMENT,S1,4.621890408079335,P1,P1,1.0,0.4553269652336363,0.5943510301529416,0.5943510301529416,irm,"{""P2"": 0.6255614764728243, ""P3"": 0.5631405714579991}",,42,False,,outer_refit,P2_P3,,,
POST_ANNEAL,S1,1.0,9,SOURCE_LOPO_DEVELOPMENT,S1,2.209035848050965,P1,P1,1.0,0.35317811111609143,0.4566851954233079,0.5506982102469793,irm,"{""P2"": 0.5781796899674431, ""P3"": 0.5232167135723054}",,42,True,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,1,SOURCE_LOPO_DEVELOPMENT,S1,1.3046214903789157,P1,P1,10.0,0.013810362025563206,1.9640323162078857,1.9640323162078857,irm,"{""P2"": 1.9554194468543642, ""P3"": 1.9726452321097965}","{""P2"": 1.952327013015747, ""P3"": 1.9348905086517334}",42,True,,inner_selection,P2_P3,0.11904761904761904,9.011659130919725e-05,0.05710283758694411
ERM_WARMUP,S1,0.0,2,SOURCE_LOPO_DEVELOPMENT,S1,0.42670080423900786,P1,P1,10.0,0.007861403003334998,1.8548300466083345,1.8548300466083345,irm,"{""P2"": 1.8450608798435757, ""P3"": 1.8645992235910325}","{""P2"": 1.9366024732589722, ""P3"": 1.9127459526062012}",42,True,,inner_selection,P2_P3,0.15,0.0003216968907508999,0.1221864027881665
ERM_WARMUP,S1,0.0,3,SOURCE_LOPO_DEVELOPMENT,S1,0.6384215206567346,P1,P1,10.0,0.06433099618979862,1.6673386373974028,1.6673386373974028,irm,"{""P2"": 1.6509948074249994, ""P3"": 1.6836824862162272}","{""P2"": 1.9341486692428589, ""P3"": 1.8726476430892944}",42,False,,inner_selection,P2_P3,0.1442857142857143,0.0016983849927783012,0.11353746113749412
ERM_WARMUP,S1,0.0,4,SOURCE_LOPO_DEVELOPMENT,S1,2.755509209642822,P1,P1,10.0,0.16233615974585217,1.3907601233891078,1.3907601233891078,irm,"{""P2"": 1.3749347748075214, ""P3"": 1.4065854894547236}","{""P2"": 1.9690924882888794, ""P3"": 1.8671002388000488}",42,True,,inner_selection,P2_P3,0.29619047619047617,0.01589849404990673,0.2624618531471094
ERM_WARMUP,S1,0.0,5,SOURCE_LOPO_DEVELOPMENT,S1,3.0939673179860008,P1,P1,10.0,0.3012208569617498,1.1509387788318453,1.1509387788318453,irm,"{""P2"": 1.1442559603282383, ""P3"": 1.157621616181873}","{""P2"": 2.0771541595458984, ""P3"": 1.8983815908432007}",42,False,,inner_selection,P2_P3,0.1619047619047619,0.08205996453762054,0.1306478076895748
ERM_WARMUP,S1,0.0,6,SOURCE_LOPO_DEVELOPMENT,S1,4.531406737934611,P1,P1,10.0,0.4049137875011989,0.9520919218517485,0.9520919218517485,irm,"{""P2"": 0.9546273564157032, ""P3"": 0.9495564887637183}","{""P2"": 2.0556230545043945, ""P3"": 1.927616000175476}",42,False,,inner_selection,P2_P3,0.21904761904761905,0.08867784589529037,0.18894090077823206
ERM_WARMUP,S1,0.0,7,SOURCE_LOPO_DEVELOPMENT,S1,3.7173358786950903,P1,P1,10.0,0.5010728823570978,0.749969622294108,0.749969622294108,irm,"{""P2"": 0.7560346531867981, ""P3"": 0.743904587768373}","{""P2"": 2.1651499271392822, ""P3"": 1.9977682828903198}",42,False,,inner_selection,P2_P3,0.21619047619047618,0.2165302187204361,0.17720340298849407
ERM_WARMUP,S1,0.0,8,SOURCE_LOPO_DEVELOPMENT,S1,6.754600739790123,P1,P1,10.0,0.4396253372374035,0.6390818598156883,0.6390818598156883,irm,"{""P2"": 0.641055767309098, ""P3"": 0.6371079501651582}","{""P2"": 2.1722464561462402, ""P3"": 2.008835554122925}",42,False,,inner_selection,P2_P3,0.1919047619047619,0.22285674512386322,0.1998941330967983
ERM_WARMUP,S1,0.0,9,SOURCE_LOPO_DEVELOPMENT,S1,3.4339857981411948,P1,P1,10.0,0.48352619965871174,0.45592881685211545,0.45592881685211545,irm,"{""P2"": 0.46196567103976294, ""P3"": 0.4498919535818554}","{""P2"": 2.167833089828491, ""P3"": 1.9930475950241089}",42,True,,inner_selection,P2_P3,0.28285714285714286,0.2242354452610016,0.26954037054820246
ERM_WARMUP,S1,0.0,10,SOURCE_LOPO_DEVELOPMENT,S1,3.2029545157362045,P1,P1,10.0,0.4128780530747913,0.34367869558788483,0.34367869558788483,irm,"{""P2"": 0.346866401831309, ""P3"": 0.3404909929775056}","{""P2"": 2.2264504432678223, ""P3"": 2.0566439628601074}",42,False,,inner_selection,P2_P3,0.21619047619047618,0.3437293469905853,0.20972809790059924
ERM_WARMUP,S1,0.0,11,SOURCE_LOPO_DEVELOPMENT,S1,4.643666088828255,P1,P1,10.0,0.32484593953405105,0.2753545139800935,0.2753545139800935,irm,"{""P2"": 0.27498851730709983, ""P3"": 0.2757205024787358}","{""P2"": 2.350346803665161, ""P3"": 2.1359915733337402}",42,False,,inner_selection,P2_P3,0.25476190476190474,0.5899271368980408,0.21325506994196397
ERM_WARMUP,S1,0.0,12,SOURCE_LOPO_DEVELOPMENT,S1,4.00316220251273,P1,P1,10.0,0.2485633000305721,0.21024263938268026,0.21024263938268026,irm,"{""P2"": 0.20720264406431288, ""P3"": 0.21328263779481252}","{""P2"": 2.300031900405884, ""P3"": 2.1634204387664795}",42,False,,inner_selection,P2_P3,0.24285714285714285,0.5608493089675903,0.24431092863166673
POST_ANNEAL,S1,10.0,13,SOURCE_LOPO_DEVELOPMENT,S1,2.2659146580852445,P1,P1,10.0,0.18525247250284468,0.17048100102515448,0.1649736124844778,irm,"{""P2"": 0.1603707786968776, ""P3"": 0.16957644718033926}","{""P2"": 2.4641547203063965, ""P3"": 2.179652690887451}",42,False,,inner_selection,P2_P3,0.20714285714285716,0.8288441300392151,0.19394489694754008
POST_ANNEAL,S1,10.0,14,SOURCE_LOPO_DEVELOPMENT,S1,1.7801590662730455,P1,P1,10.0,0.1290913289785385,0.1301291989570572,0.14050789936667396,irm,"{""P2"": 0.13804809442588262, ""P3"": 0.14296770612398782}","{""P2"": 2.5137112140655518, ""P3"": 2.257173776626587}",42,False,,inner_selection,P2_P3,0.2276190476190476,1.0087306499481201,0.20165549689452236
POST_ANNEAL,S1,10.0,15,SOURCE_LOPO_DEVELOPMENT,S1,1.6496419429040174,P1,P1,10.0,0.08091319447471981,0.08416089035215832,0.11663783851123992,irm,"{""P2"": 0.12264929743040176, ""P3"": 0.110626377591065}","{""P2"": 2.6047117710113525, ""P3"": 2.384385108947754}",42,False,,inner_selection,P2_P3,0.1895238095238095,1.3241708278656006,0.16509844274809962
POST_ANNEAL,S1,10.0,16,SOURCE_LOPO_DEVELOPMENT,S1,1.2825866556850305,P1,P1,10.0,0.042855119691008615,0.051210078256470816,0.13475966294606526,irm,"{""P2"": 0.17493607103824615, ""P3"": 0.0945832575360934}","{""P2"": 2.646707534790039, ""P3"": 2.3649754524230957}",42,False,,inner_selection,P2_P3,0.21142857142857144,1.372346043586731,0.2131058022442939
POST_ANNEAL,S1,10.0,17,SOURCE_LOPO_DEVELOPMENT,S1,1.007349443535997,P1,P1,10.0,0.028234705882413048,0.0375689029338814,0.13091088191384362,irm,"{""P2"": 0.18342512092420032, ""P3"": 0.07839664190298035}","{""P2"": 2.6960790157318115, ""P3"": 2.4481418132781982}",42,False,,inner_selection,P2_P3,0.19333333333333333,1.6399785280227661,0.17851208484940914
ERM_WARMUP,S1,0.0,1,SOURCE_LOPO_DEVELOPMENT,S1,1.0380983533749482,P1,P1,10.0,0.010219383332028334,1.9501686568487258,1.9501686568487258,irm,"{""P2"": 1.9476706888562156, ""P3"": 1.9526666199971758}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,2,SOURCE_LOPO_DEVELOPMENT,S1,0.4099527806685262,P1,P1,10.0,0.01814783812988372,1.8079530046856593,1.8079530046856593,irm,"{""P2"": 1.8102467646674505, ""P3"": 1.805659251440139}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,3,SOURCE_LOPO_DEVELOPMENT,S1,1.8614049614284696,P1,P1,10.0,0.10475661810428377,1.5164025474729992,1.5164025474729992,irm,"{""P2"": 1.5282269930461096, ""P3"": 1.5045780825236488}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,4,SOURCE_LOPO_DEVELOPMENT,S1,3.2694761853715777,P1,P1,10.0,0.21689213045059688,1.2551078392210462,1.2551078392210462,irm,"{""P2"": 1.2789060404187158, ""P3"": 1.2313096477114964}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,5,SOURCE_LOPO_DEVELOPMENT,S1,5.0118723731867,P1,P1,10.0,0.31255342400263225,1.046062612155127,1.046062612155127,irm,"{""P2"": 1.0770666905811854, ""P3"": 1.015058540995159}",,42,False,,outer_refit,P2_P3,,,
ERM_WARMUP,S1,0.0,6,SOURCE_LOPO_DEVELOPMENT,S1,5.816679917852259,P1,P1,10.0,0.39963397612647406,0.8509971639088222,0.8509971639088222,irm,"{""P2"": 0.886054805914561, ""P3"": 0.8159395204271589}",,42,False,,outer_refit,P2_P3,,,
