fold,support_seed,selection_rank,first_included_budget,dataset_index,sample_id,class_index,TagID,ER,surface_index,factor_cell,condition_block_id,row_ordinal_within_block,exact_signal_sha256
0,104729,11,20,1640,P4_S1_R0590,3,4,2,1,E2xS1,block_f9e261f86eb69990627a,40,817bc883731cdaeccf90b6b6a625e9f6f350abe8d5787fe9fd728c51a3382fd5
0,104729,12,20,1798,P4_S1_R0748,4,5,2,1,E2xS1,block_0c3084788dc02011c9d7,48,47aafae0ae0c7f46a6ff8772e98b7c92c7e5c337d1fb9ed58f9fc2b3f23d1dd3
0,104729,13,20,1920,P4_S1_R0870,5,6,2,1,E2xS1,block_ee5a03f67d713e5a16d1,20,3cd04bb92d2146d10e2425161d02102821b1290b2ff77ed49b53af5409ffa4fd
0,104729,14,20,2055,P4_S1_R1005,6,7,2,1,E2xS1,block_341a112d441641aadab6,5,a474b035a634c477995472eac043c2222d1d506778ef99ff03cffcf9f117f7ce
0,104729,15,20,2159,P4_S2_R0059,0,1,1,2,E1xS2,block_a11603a4e978f0aa6ae7,9,89b7b9bed51fe3a8edd1fcd242b6fbf07726bfdc71ff2e73a2820b0231e940d4
0,104729,16,20,2302,P4_S2_R0202,1,2,1,2,E1xS2,block_92a382111db9fde48de1,2,4430c9bf161c19f5c147763c5e1fea0225f5dc859c76ae5ad59caca210407389
0,104729,17,20,2473,P4_S2_R0373,2,3,1,2,E1xS2,block_d9a2aa445ea217ac43a8,23,93a529387ddcaa4143b41e0665cdc7a3be5d586aaf08168f23693a027d67aa6e
0,104729,18,20,2614,P4_S2_R0514,3,4,1,2,E1xS2,block_6a7d2cb8569eb9e0586b,14,c14024ed5a1990fee1adf677050432a480ea1cad55928aca4ffbb921234bccd7
0,104729,19,20,2758,P4_S2_R0658,4,5,1,2,E1xS2,block_087e19ccbd73a9532e0d,8,34a2b0ff018508bace8cb83681f18c65c5615e6354a64b92d5534c9485654a7c
0,104729,20,20,2907,P4_S2_R0807,5,6,1,2,E1xS2,block_aa7b8dd31ee67cd57169,7,aba8e0929d6250a6dfcf0f9756b7cee28a96f4579f50dc604172219a9a10f90e
0,104729,21,21,3092,P4_S2_R0992,6,7,1,2,E1xS2,block_0c0d962bec0b68bfa844,42,20394949bdab7d0d111fd21ba20b48210c4951a99d842182bdccea4eac6ec8a1
0,104729,22,35,2128,P4_S2_R0028,0,1,0,2,E0xS2,block_dcd65b6733239f039f78,28,ca1011f1e1a51815b4d158c10ccd403e6b60cb41ab18344161bce86f43f8979d
0,104729,23,35,2256,P4_S2_R0156,1,2,0,2,E0xS2,block_f9220b318055328fc70b,6,9288b14f10ff0e7db203036bd5fcf890e45d180ed9072687f35e6e4d28b71719
0,104729,24,35,2404,P4_S2_R0304,2,3,0,2,E0xS2,block_a1f01518e8af3b26a76b,4,861eceb0393b2c64bf06654ae9ebb5347708d3d765fdc44c23bca0142a8aca44
0,104729,25,35,2561,P4_S2_R0461,3,4,0,2,E0xS2,block_cd83c9ffbceb34f2a036,11,61eb50fbdaadfa79cd45f92826637c7e234d4b6b3c1fc453e0f9a5f465a4db0b
0,104729,26,35,2704,P4_S2_R0604,4,5,0,2,E0xS2,block_b5566805f96ca56a8df8,4,49b8372bb45f446edb5eab08a20a0589b94cccd0712b749b27fb5cbfd3afd1b7
0,104729,27,35,2876,P4_S2_R0776,5,6,0,2,E0xS2,block_a6ed69b04e5479ad4efe,26,6f235b3ee3cf65fdafa743af55acff5066e07577198bbed441779dd46a8ffeb6
0,104729,28,35,3021,P4_S2_R0921,6,7,0,2,E0xS2,block_9c41b8b37cd02b562989,21,4d1507eed4d77b0969ee3889503db99926595ebc1cffceb01796b7bb894e72e8
0,104729,29,35,1074,P4_S1_R0024,0,1,0,1,E0xS1,block_7d26e6e0273fcd9680fd,24,e0d646cec585aca443b4a0c0f5fd1dc3bb851adec9254a6c552fc8f75bc91aee
0,104729,30,35,1213,P4_S1_R0163,1,2,0,1,E0xS1,block_47daa4c11e848e54e086,13,aa7d66dfbe80919b19221f73853bc20b782977ffec8f474cee938612312fa811
0,104729,31,35,1380,P4_S1_R0330,2,3,0,1,E0xS1,block_784868aa8e666849cf0e,30,6f536e67cec91007681f02fdbab066d656e75f5e94b1168f5c84d78f641657e7
0,104729,32,35,1514,P4_S1_R0464,3,4,0,1,E0xS1,block_ced46cc6b0f2f44089b9,14,0874b9c39a0b8b3a69c018e67e4463be073442fac5b16cb67c6f8f1939f8a3e3
0,104729,33,35,1688,P4_S1_R0638,4,5,0,1,E0xS1,block_ac5f59ca3a86eb3571dd,38,d9fab1f4931051b2dd49a455430ebb2a18834e37b355563ceccba349191bb4d0
0,104729,34,35,1841,P4_S1_R0791,5,6,0,1,E0xS1,block_7edb50f252b2978616d9,41,d7de89920e220afb59e39f9fefba9704e445646c43af1280cad71e73cbdd8e89
0,104729,35,35,1953,P4_S1_R0903,6,7,0,1,E0xS1,block_fd0c2bf0a66580786ae9,3,d465d45febf7774df7bc31c637d94de007970043834a262bda51c8cdce0001ac
0,104729,36,50,86,P4_S0_R0086,0,1,1,0,E1xS0,block_a7144b7d0b683272e22f,36,6ab0bdce8fc168078304d36c95f63ff92783392cae47bbee4f88b675a09f2d0d
0,104729,37,50,200,P4_S0_R0200,1,2,1,0,E1xS0,block_9792098cb7d53418e0fa,0,bae3ae67d69a6c79ea5d0ccc73ce61c5fb347eec1bba95ca313057511858aecd
0,104729,38,50,381,P4_S0_R0381,2,3,1,0,E1xS0,block_b10eb3fae829467bb456,31,9b72a9d73c83bb7ebd21b3281e856e39370404c9b9d545d06657ced1267aa2f1
0,104729,39,50,533,P4_S0_R0533,3,4,1,0,E1xS0,block_b1cdea3c34a961f9bef1,33,d6bc30a41252c1caa88bc02a5cfb6e6b89c6226407efcc1d3e021dde100b9a73
0,104729,40,50,696,P4_S0_R0696,4,5,1,0,E1xS0,block_3ce4205902299104d952,46,cb647230a1cd370240db8a328e73977361d903e0da05acc1f2d5468825f9c963
0,104729,41,50,823,P4_S0_R0823,5,6,1,0,E1xS0,block_8644f7eeb57e2b0834d8,23,0cf461fce9767b4f0c8294ce6de1a3f316b497bf85a14e748b220c5887e947ed
0,104729,42,50,967,P4_S0_R0967,6,7,1,0,E1xS0,block_eaeecdee1eb22a8038cd,17,d9920e93f510d3dbbf263affce1d99ad82c62a9f9c3a6daac891637171436765
0,104729,43,50,140,P4_S0_R0140,0,1,2,0,E2xS0,block_ca31f3a2de70f6f36fe7,40,e6be75870b8783355547ada61ca92d9a2e143ac66cb308110526dd19bb74e799
0,104729,44,50,283,P4_S0_R0283,1,2,2,0,E2xS0,block_514d45a2b30c2c844b4a,33,6b7cfa075abd1a58108bf0311add9a18cd10c6fa9a7724202691f63f6a1fcb55
0,104729,45,50,438,P4_S0_R0438,2,3,2,0,E2xS0,block_a9ba10c5c71cce187f2d,38,ecb4aa87871b7743e4ebf5705c68a38ba3fd950ab460cde0cf593310df2d474f
0,104729,46,50,555,P4_S0_R0555,3,4,2,0,E2xS0,block_441a737804e3b88f75d1,5,d7389d9aea4db3ce88faa2bcc830e01518a7d881a506869b7eb6707e90039ce3
0,104729,47,50,728,P4_S0_R0728,4,5,2,0,E2xS0,block_fc4af4c92525fc000f31,28,8b4d3c2093e29fca3d6615c5d5ee1c51ad5db1d6ecc06719464251dce22c4e0d
0,104729,48,50,859,P4_S0_R0859,5,6,2,0,E2xS0,block_dd0ea449f458e46f0ca5,9,c57bdc71fe86f92fccfd165ce8606d91bf3f5bb54c72ce33825d9c7b3fbb1d8b
0,104729,49,50,1002,P4_S0_R1002,6,7,2,0,E2xS0,block_8dfa1f4b216948ad599a,2,592812e5e138e058a2bd8c4e986638c175b9ef4bd8c7de82f61f11ae924cbe53
0,104729,50,50,1155,P4_S1_R0105,0,1,2,1,E2xS1,block_3fd830e3c85599e9b165,5,7f453837fc93446e42c34a4f9409ba538c21fed3a2f87f6a12e55636f75416a5
0,104729,51,100,1336,P4_S1_R0286,1,2,2,1,E2xS1,block_bc3f8e677b092fd01efe,36,4d6cd1f5717681613521273c6312197b289fa8ca1fa5f01346aebff91129aa25
0,104729,52,100,1460,P4_S1_R0410,2,3,2,1,E2xS1,block_43a8de3c5649853c978d,10,eaab670badcda445d7f5372c501e2cae992d465ff862431aa4a8682491f96c76
0,104729,53,100,1648,P4_S1_R0598,3,4,2,1,E2xS1,block_f9e261f86eb69990627a,48,177bbd0b9741684c97b1f7200514bb7113ebe66d8985c29b914240afbdfa2dc2
0,104729,54,100,1797,P4_S1_R0747,4,5,2,1,E2xS1,block_0c3084788dc02011c9d7,47,37dd95b0b11f5e980c33c78b48028d2370474f4e8716cfe89612048fbc40f678
0,104729,55,100,1906,P4_S1_R0856,5,6,2,1,E2xS1,block_ee5a03f67d713e5a16d1,6,503bacda07918df8a902270b43ace5ec71bd9e2b41241df2238a3c911374292a
0,104729,56,100,2092,P4_S1_R1042,6,7,2,1,E2xS1,block_341a112d441641aadab6,42,7033ee96bc05cfd385a2206ea5d91de408cf41ae643d34f514a6fb5432031990
0,104729,57,100,2151,P4_S2_R0051,0,1,1,2,E1xS2,block_a11603a4e978f0aa6ae7,1,ab031a88597dbfaf6cf8be2e22d5e1934bb25ff0556e551b50afd89aa0201167
0,104729,58,100,2322,P4_S2_R0222,1,2,1,2,E1xS2,block_92a382111db9fde48de1,22,e15dcc8e980e69bd3d3cbd8cf918b2d85dc23ac03615061feb2997ed58eda4db
0,104729,59,100,2486,P4_S2_R0386,2,3,1,2,E1xS2,block_d9a2aa445ea217ac43a8,36,b9d0d0a56b5f34b82a6aad0600c68b1448de2588f6775001856220245da35149
0,104729,60,100,2633,P4_S2_R0533,3,4,1,2,E1xS2,block_6a7d2cb8569eb9e0586b,33,39394cd774cbd2e85aae69656c9b7d02db41031820662e681c638e933c99d155
0,104729,61,100,2756,P4_S2_R0656,4,5,1,2,E1xS2,block_087e19ccbd73a9532e0d,6,ca30b93da5b105103121be41ab373cc2e5c15495e1c2da0e356e3b24881befda
0,104729,62,100,2946,P4_S2_R0846,5,6,1,2,E1xS2,block_aa7b8dd31ee67cd57169,46,c0578db40c448ed97c59710701a0a7a317a844f6a977019610dde6a6cf487a2e
0,104729,63,100,3053,P4_S2_R0953,6,7,1,2,E1xS2,block_0c0d962bec0b68bfa844,3,1227fcfc2d7130ac1707c57aa89896db961330baca450398f632ac181c14dd08
0,104729,64,100,2114,P4_S2_R0014,0,1,0,2,E0xS2,block_dcd65b6733239f039f78,14,26d4521fd3584a42c2f412bfa3348de41b48ee70ab8a4a68161e3c195bebb48e
0,104729,65,100,2264,P4_S2_R0164,1,2,0,2,E0xS2,block_f9220b318055328fc70b,14,7917d1233eb75440bdb5716ee21bcee16fa83328e201231633764f615c319275
0,104729,66,100,2427,P4_S2_R0327,2,3,0,2,E0xS2,block_a1f01518e8af3b26a76b,27,f8b04ae69bc51163baa0c20d940652050efd70f2f4a106517f07279ca2e39551
0,104729,67,100,2556,P4_S2_R0456,3,4,0,2,E0xS2,block_cd83c9ffbceb34f2a036,6,a6844a27c917dddce915a674dafcbc6f42397f69f385b75bad4affae47424dc2
0,104729,68,100,2717,P4_S2_R0617,4,5,0,2,E0xS2,block_b5566805f96ca56a8df8,17,6c01aabd7179df9715bf7ac25afacc83740610a6ea248305e4c86f12631628a1
0,104729,69,100,2865,P4_S2_R0765,5,6,0,2,E0xS2,block_a6ed69b04e5479ad4efe,15,1b379b9888e9d7831911938b4172a33e3f4c59250527d044c709f4f9070f477f
0,104729,70,100,3007,P4_S2_R0907,6,7,0,2,E0xS2,block_9c41b8b37cd02b562989,7,24c6329e0125e7c6446c3a3af37e83c0e625bc036ac4c0042950c5933a5458e9
0,104729,71,100,1061,P4_S1_R0011,0,1,0,1,E0xS1,block_7d26e6e0273fcd9680fd,11,ea7e7615f15822a9372a46547172f9d97b30cb3f31725cd5e6f49850ff228f8a
0,104729,72,100,1212,P4_S1_R0162,1,2,0,1,E0xS1,block_47daa4c11e848e54e086,12,049d75eb2155f99268aab51d733ace0074dd79549e95855134ed28596a2be3a4
0,104729,73,100,1368,P4_S1_R0318,2,3,0,1,E0xS1,block_784868aa8e666849cf0e,18,d2a2dfc4070f008b67faa74062f7a4982481f86f928a5ef31055ac8f19b0bffd
0,104729,74,100,1546,P4_S1_R0496,3,4,0,1,E0xS1,block_ced46cc6b0f2f44089b9,46,7b2d5274aa7087dfe5a3ad4c343b6480ec0cfc1b3cb01b3a5099aab8ca7d6c2e
0,104729,75,100,1685,P4_S1_R0635,4,5,0,1,E0xS1,block_ac5f59ca3a86eb3571dd,35,186b89ca1cdab4872642dde5fd380d1758e5a69482609ec32b2072e503ca10ee
0,104729,76,100,1832,P4_S1_R0782,5,6,0,1,E0xS1,block_7edb50f252b2978616d9,32,ea28245d17f454e81d45da6647f315ce6685734b40d60cb5921ca563a6a45c5a
0,104729,77,100,1957,P4_S1_R0907,6,7,0,1,E0xS1,block_fd0c2bf0a66580786ae9,7,c862cfe720a832412ade29ea1de5c4600eccd1ec30fc9a90e0cbd69e4139a50b
0,104729,78,100,85,P4_S0_R0085,0,1,1,0,E1xS0,block_a7144b7d0b683272e22f,35,0746bff5176caa8343967b8036469b743296b927f26b68e634ad19f518582aba
0,104729,79,100,238,P4_S0_R0238,1,2,1,0,E1xS0,block_9792098cb7d53418e0fa,38,d03c89809f97c5e0960cdc715a74f21f422d7faba5ea2eaf26ee30fd63eef725
0,104729,80,100,369,P4_S0_R0369,2,3,1,0,E1xS0,block_b10eb3fae829467bb456,19,2d14bb95762b02df4bb828711d63fb6a2199201c890192eb4a0b59dda6abe84c
0,104729,81,100,530,P4_S0_R0530,3,4,1,0,E1xS0,block_b1cdea3c34a961f9bef1,30,95b14a426d0c083b5258e6c713b7d657400a479d557a6512b391eb41d17fd183
0,104729,82,100,697,P4_S0_R0697,4,5,1,0,E1xS0,block_3ce4205902299104d952,47,3ad3acd012d6ed5eb8192f7cff8d80806bed5778221c32fa7f4e13fd3a945024
0,104729,83,100,849,P4_S0_R0849,5,6,1,0,E1xS0,block_8644f7eeb57e2b0834d8,49,5ab64226ff844510ddc69176681bf01af892326a53e2473e2ead060446cf04fb
0,104729,84,100,991,P4_S0_R0991,6,7,1,0,E1xS0,block_eaeecdee1eb22a8038cd,41,67ede6bf5f687c0864d0eee8ff434dd049ac3cdfb96264ccd7990ac2ed79a094
0,104729,85,100,138,P4_S0_R0138,0,1,2,0,E2xS0,block_ca31f3a2de70f6f36fe7,38,222cadf10668d8edd0a93504270023d14b0c637d63fb7853d697005498608396
0,104729,86,100,292,P4_S0_R0292,1,2,2,0,E2xS0,block_514d45a2b30c2c844b4a,42,efad65300a7002d4253acd21577acde57598030b09c1775c12fe5bdee368c4a3
0,104729,87,100,415,P4_S0_R0415,2,3,2,0,E2xS0,block_a9ba10c5c71cce187f2d,15,4ecf0c2bee8ed52289c2629a38761eaaaa05dae2c21acd88b4a62b28b06242e2
0,104729,88,100,550,P4_S0_R0550,3,4,2,0,E2xS0,block_441a737804e3b88f75d1,0,1c06c5d9c19b18e417dcf9fb2e5b40769e4489ecc0ee805d5088b186ceeca7f0
0,104729,89,100,743,P4_S0_R0743,4,5,2,0,E2xS0,block_fc4af4c92525fc000f31,43,d6f9f5418bdb151e2409b04c62117c4e3081e6d2043e724403b538f0519ac7ef
0,104729,90,100,884,P4_S0_R0884,5,6,2,0,E2xS0,block_dd0ea449f458e46f0ca5,34,179999931bbd82e7a26a59d3971179cc37983977f5765c5f65c1ad9f0c2655c0
0,104729,91,100,1030,P4_S0_R1030,6,7,2,0,E2xS0,block_8dfa1f4b216948ad599a,30,4f0397921a75a246553fc35d2c6acecde49d91fdf641fb6bc4142838e5697d48
0,104729,92,100,1188,P4_S1_R0138,0,1,2,1,E2xS1,block_3fd830e3c85599e9b165,38,51c4337618c0344e9e3ada2441ca5db40b0da2ff9bea950b87313a87fe829678
0,104729,93,100,1313,P4_S1_R0263,1,2,2,1,E2xS1,block_bc3f8e677b092fd01efe,13,51b6c99143022f011ed11e14022f40dd99f0d00d03355875eb08332678de6ab8
0,104729,94,100,1463,P4_S1_R0413,2,3,2,1,E2xS1,block_43a8de3c5649853c978d,13,06f98ffb9875d6f2aa99721b24eb0152bfd8816d9b8e17dd0552a32814c5dbc0
0,104729,95,100,1603,P4_S1_R0553,3,4,2,1,E2xS1,block_f9e261f86eb69990627a,3,c06a46a5c2ca6ea782cb0216831ae9b29751b9c52431cdd5b89182c071c8d6c7
0,104729,96,100,1760,P4_S1_R0710,4,5,2,1,E2xS1,block_0c3084788dc02011c9d7,10,a1b598b92da0d02711489401b727670f809a888ffb06ae20f32ca608afa9986e
0,104729,97,100,1943,P4_S1_R0893,5,6,2,1,E2xS1,block_ee5a03f67d713e5a16d1,43,88bb27186c3a6b3c3a8ae204c08b71ccd457cd93da49b0c9e1a66883ac5ea2ba
0,104729,98,100,2085,P4_S1_R1035,6,7,2,1,E2xS1,block_341a112d441641aadab6,35,29dcf03596096b79611a84b8afd8ad9ad6ab4882bb4a0d6d3c62ade488c3ef7b
0,104729,99,100,2177,P4_S2_R0077,0,1,1,2,E1xS2,block_a11603a4e978f0aa6ae7,27,af544ce883cf17e2de786b73a79f78b94b3d0a62eccd9e7bb01dceb85c09bca2
0,104729,100,100,2319,P4_S2_R0219,1,2,1,2,E1xS2,block_92a382111db9fde48de1,19,284675715b36670a431a9abb12505fa018a12aa88af9a59683df66fd9fec9979
0,104729,101,200,2488,P4_S2_R0388,2,3,1,2,E1xS2,block_d9a2aa445ea217ac43a8,38,f0a498c8ee4ea9da94dc84d649106ff38d8f6a4cb52c18ced744ca173fd3ddbf
0,104729,102,200,2627,P4_S2_R0527,3,4,1,2,E1xS2,block_6a7d2cb8569eb9e0586b,27,752a405f2b26f5f271e0b423832c52473d51fcc1e793d5afe6c57cab3e044b27
0,104729,103,200,2788,P4_S2_R0688,4,5,1,2,E1xS2,block_087e19ccbd73a9532e0d,38,85ea1718808d9cc7d816ca91091c4ce9c8d0162af6b7188e04658ff0f09fea55
0,104729,104,200,2938,P4_S2_R0838,5,6,1,2,E1xS2,block_aa7b8dd31ee67cd57169,38,3a7a82430c949caa980ba127c705b31343e330fea3cf7e717245d4122d85c631
0,104729,105,200,3088,P4_S2_R0988,6,7,1,2,E1xS2,block_0c0d962bec0b68bfa844,38,fbaab4140f3997a84d946cd175ca00e1e68e6e6ad8c949621b1460afc0642bb4
0,104729,106,200,2121,P4_S2_R0021,0,1,0,2,E0xS2,block_dcd65b6733239f039f78,21,cc02daa031886df61bd198e7c2acbeee18a495d1ec255460824b71d6ea1db793
0,104729,107,200,2274,P4_S2_R0174,1,2,0,2,E0xS2,block_f9220b318055328fc70b,24,7de4441857d152989a95e74ca4d15136a15d6e158ae71a77634cc2cee8933616
0,104729,108,200,2446,P4_S2_R0346,2,3,0,2,E0xS2,block_a1f01518e8af3b26a76b,46,140d383ebd70377fc040b08d703332a2403688627206b1e7b8cc3433a7ee1c4f
0,104729,109,200,2576,P4_S2_R0476,3,4,0,2,E0xS2,block_cd83c9ffbceb34f2a036,26,a543039803c75918da907bd01d4a2a02c0b6057ecb623d8565648f0661ebeba3
0,104729,110,200,2723,P4_S2_R0623,4,5,0,2,E0xS2,block_b5566805f96ca56a8df8,23,224299f4b734deb63fff5aa95bf160ae14095cfc352813e0fae7b729c9f7d5a8
0,104729,111,200,2859,P4_S2_R0759,5,6,0,2,E0xS2,block_a6ed69b04e5479ad4efe,9,a3e266da490bb8016b27d91ebcffb5b2ea69cd0ca3c0e4b99313ad3984119e23
0,104729,112,200,3006,P4_S2_R0906,6,7,0,2,E0xS2,block_9c41b8b37cd02b562989,6,786d2cc2f42182c323b68e8e3c19dc5601dff3a4e7c95facc1ede2ff4d673219
0,104729,113,200,1078,P4_S1_R0028,0,1,0,1,E0xS1,block_7d26e6e0273fcd9680fd,28,e0d646cec585aca443b4a0c0f5fd1dc3bb851adec9254a6c552fc8f75bc91aee
0,104729,114,200,1221,P4_S1_R0171,1,2,0,1,E0xS1,block_47daa4c11e848e54e086,21,fad359ebb2077483cfd8734858b8291375b2396f5c0ac13b5e0d664dd5001292
0,104729,115,200,1384,P4_S1_R0334,2,3,0,1,E0xS1,block_784868aa8e666849cf0e,34,8dfdc4083d804643ae669550a836a99db978eeda87e03ef7969c0a8ef192b07e
0,104729,116,200,1549,P4_S1_R0499,3,4,0,1,E0xS1,block_ced46cc6b0f2f44089b9,49,62efab296efd9674a80c83e74c36fb2677c5b600694aecc852461c5f2b101d2f
0,104729,117,200,1695,P4_S1_R0645,4,5,0,1,E0xS1,block_ac5f59ca3a86eb3571dd,45,a57131df0481b5e0d0b28a802f833d5e3affc474d8ec0d49780c62ba0997cb38
0,104729,118,200,1803,P4_S1_R0753,5,6,0,1,E0xS1,block_7edb50f252b2978616d9,3,d269b40ff7be3e81215be28bf2a111a63362415ebf6b59a47059c6770197c023
0,104729,119,200,1959,P4_S1_R0909,6,7,0,1,E0xS1,block_fd0c2bf0a66580786ae9,9,b5649c7b7aa731da406d3503827eddc9cea0e6819806245e73e5688c2ae05092
0,104729,120,200,75,P4_S0_R0075,0,1,1,0,E1xS0,block_a7144b7d0b683272e22f,25,ac232a0de5564b549ec63d1b2aa42f8b6741c8e49f0229fb49d9187eefb3f05c
0,104729,121,200,237,P4_S0_R0237,1,2,1,0,E1xS0,block_9792098cb7d53418e0fa,37,88412175c7cba5109fa41df3ab37673364b7e45d3bcbe19ac06d1d5d24db6087
0,104729,122,200,368,P4_S0_R0368,2,3,1,0,E1xS0,block_b10eb3fae829467bb456,18,0892bad5afbef27bdab323f3dd5404377ac0d9d4aa23451c138fd449ca7699c5
0,104729,123,200,527,P4_S0_R0527,3,4,1,0,E1xS0,block_b1cdea3c34a961f9bef1,27,0aa6217fc3ade2a0eff489a3e1b3cd6085841ddb3eb13174219d29b0da4e8350
0,104729,124,200,661,P4_S0_R0661,4,5,1,0,E1xS0,block_3ce4205902299104d952,11,63a5ca1dcf9371df0379419cd49f12b88703e6b5d12fae05d404c0e70c62ae9a
0,104729,125,200,814,P4_S0_R0814,5,6,1,0,E1xS0,block_8644f7eeb57e2b0834d8,14,49c1786e4de791d3c1ea8832fd9729b3dcbe4b1e4bcb9a0af8319c585190c1f1
0,104729,126,200,952,P4_S0_R0952,6,7,1,0,E1xS0,block_eaeecdee1eb22a8038cd,2,ef804107ee84073dd9261d77a7d54ae39e83da9d69ee7f9ffa3c4c8618e7611e
0,104729,127,200,109,P4_S0_R0109,0,1,2,0,E2xS0,block_ca31f3a2de70f6f36fe7,9,8eb1f4bac05e2a5daa4ed3030216cd6b19a0059167e32f7dc1fa934fa25887ad
0,104729,128,200,296,P4_S0_R0296,1,2,2,0,E2xS0,block_514d45a2b30c2c844b4a,46,20f4437652ccc1757a4ee737104d988f7e21df58bfa21d4ff1c7851c6e35f752
0,104729,129,200,437,P4_S0_R0437,2,3,2,0,E2xS0,block_a9ba10c5c71cce187f2d,37,f7899bf00cc4d1692654250b267235ba56e45755f252ce273623dee27ec1582e
0,104729,130,200,562,P4_S0_R0562,3,4,2,0,E2xS0,block_441a737804e3b88f75d1,12,80d5f3f33f17965b80e4d7a32ca76ca7e5ac2268e3336558ebb5c1b8557ff978
0,104729,131,200,738,P4_S0_R0738,4,5,2,0,E2xS0,block_fc4af4c92525fc000f31,38,e274eefe8cd0b1e6c558902eb2424885140ec10c0468dee301f129d49c6b6099
0,104729,132,200,881,P4_S0_R0881,5,6,2,0,E2xS0,block_dd0ea449f458e46f0ca5,31,f86bc51abd976b648c09b338e103b41c8f9815a4792f96d26150fbbaba25bf0f
0,104729,133,200,1008,P4_S0_R1008,6,7,2,0,E2xS0,block_8dfa1f4b216948ad599a,8,207c321252c0647b6c34304dbe71d0b962c26549a90f4477d54cad261a76b39b
0,104729,134,200,1193,P4_S1_R0143,0,1,2,1,E2xS1,block_3fd830e3c85599e9b165,43,d0d1cae7a2066a64391d748dd55197d59c4ea8681a9f79f755c537db1abbdb5f
0,104729,135,200,1311,P4_S1_R0261,1,2,2,1,E2xS1,block_bc3f8e677b092fd01efe,11,4d6cd1f5717681613521273c6312197b289fa8ca1fa5f01346aebff91129aa25
0,104729,136,200,1453,P4_S1_R0403,2,3,2,1,E2xS1,block_43a8de3c5649853c978d,3,cbc0a2ab1635866715f0d8b4f8e966f15217dd1b925853d1972ce08596106514
0,104729,137,200,1624,P4_S1_R0574,3,4,2,1,E2xS1,block_f9e261f86eb69990627a,24,e20cb8db9e08d1033eb322bd35a15567251f151771026e130811bc47249c738d
0,104729,138,200,1780,P4_S1_R0730,4,5,2,1,E2xS1,block_0c3084788dc02011c9d7,30,fb74529e05aa6136e0f78260e898b5bab4e996e9676e97eefaf36f8a402ac8ba
0,104729,139,200,1910,P4_S1_R0860,5,6,2,1,E2xS1,block_ee5a03f67d713e5a16d1,10,c759981330389237898d9eeaff59597ec9eaec35674f81bbed281948ee9a7a85
0,104729,140,200,2054,P4_S1_R1004,6,7,2,1,E2xS1,block_341a112d441641aadab6,4,955b455b4a679320c59e4c229178bb5420771c897693586f68b1913afd0fc146
0,104729,141,200,2155,P4_S2_R0055,0,1,1,2,E1xS2,block_a11603a4e978f0aa6ae7,5,f485d1706c937d088eb068445ab4d2c965a562547c346c745561d612b6801050
0,104729,142,200,2327,P4_S2_R0227,1,2,1,2,E1xS2,block_92a382111db9fde48de1,27,4430c9bf161c19f5c147763c5e1fea0225f5dc859c76ae5ad59caca210407389
0,104729,143,200,2462,P4_S2_R0362,2,3,1,2,E1xS2,block_d9a2aa445ea217ac43a8,12,2ef6543546a4d0313d0998700264d7ce34784a474c1a3b2987924442c59c2188
