record_type,rule_id,path_classification,path_or_pattern,action,purpose,sha256,notes
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::src/crfid/strict_runtime/phase3b_summary.py,HASHED_NOT_PARSED,frozen scientific input identity,dd76cca10f32982d161cd04b1746cd74287d73440b4684ace7ada1dc23409bf3,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::scripts/reproduce_strict_dg_source_selection.py,HASHED_NOT_PARSED,frozen scientific input identity,ed3aca30a4189f02959f6079e52c79042521e30b843b7b0dde3227fe094e1b8e,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/candidate_registry.json,HASHED_NOT_PARSED,frozen scientific input identity,c650b3ae65f64ac4bcc3ab5b912e04ec05167c595c536bfd5788808f8486250b,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/source_fold_manifest.csv,HASHED_NOT_PARSED,frozen scientific input identity,41a275a6f499ee3d3105e09a420ceb92bb8272d879a89a6bb6623ae6f9bc82ca,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/per_run_metrics.csv,HASHED_NOT_PARSED,frozen scientific input identity,1fcbedafb9813f96f13e47929b029e1e40d8d8f36815af5391ee271d4d63d35d,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/per_fold_metrics.csv,HASHED_NOT_PARSED,frozen scientific input identity,f51dfed773536c6cc9538776a4e5641c650266d57533e9290def35082bdc0d24,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/candidate_aggregate_metrics.csv,HASHED_NOT_PARSED,frozen scientific input identity,8c5dad77f87de80626551d1b5dd7caeda6bfd5f5139fbfae63482e5165f05bd5,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/selected_recipe.json,HASHED_NOT_PARSED,frozen scientific input identity,4805f8040f3609dbf4a02553b15c64471f64e3d2a9bc7a6c1068a6342c29d1b6,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/source_selection_decision.json,HASHED_NOT_PARSED,frozen scientific input identity,e5479dd552f32e81ae5a4a3e3b8295891e02fbe2a67b84095cc67d8e1a10fc45,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::Failure_Mechanism_Physical_Analysis_Final/evidence/source_selection/60_UNIT_INDEX.csv,HASHED_NOT_PARSED,frozen scientific input identity,ea7a4b323821bc875b7049b5a5c135797c68fe9d58444d2aa8fc7f2f5cb353c6,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::Failure_Mechanism_Physical_Analysis_Final/evidence/source_only_diagnostics/CHECKPOINT_INFERENCE_AUDIT.csv,HASHED_NOT_PARSED,frozen scientific input identity,559669266b6e3e706d1f954681690b9de722ada4d2b4ac810e84ec199186f762,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::configs/strict_dg/canonical.yaml,OPENED,historical selector recovery,2338bbe1f7ec501546512d286b3d2b3d3067f9f8e458a547e2a237c15a1b835e,scientific input or lineage evidence
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/candidate_registry.json,OPENED,candidate lineage binding,c650b3ae65f64ac4bcc3ab5b912e04ec05167c595c536bfd5788808f8486250b,scientific input or lineage evidence
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/source_fold_manifest.csv,OPENED,source fold-to-position validation,41a275a6f499ee3d3105e09a420ceb92bb8272d879a89a6bb6623ae6f9bc82ca,scientific input or lineage evidence
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::Failure_Mechanism_Physical_Analysis_Final/evidence/source_selection/60_UNIT_INDEX.csv,OPENED,prediction evidence identity,ea7a4b323821bc875b7049b5a5c135797c68fe9d58444d2aa8fc7f2f5cb353c6,scientific input or lineage evidence
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::Failure_Mechanism_Physical_Analysis_Final/evidence/source_only_diagnostics/CHECKPOINT_INFERENCE_AUDIT.csv,OPENED,C0/C2 checkpoint lineage,559669266b6e3e706d1f954681690b9de722ada4d2b4ac810e84ec199186f762,scientific input or lineage evidence
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S1/seed_42.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,9f597b7628827e6f499d87bacb22bada210f33e570ac45f1d366cc77040a6859,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S1/seed_43.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,91bcdc0f1c9ae700fc3c20b87af6ee71b7bc2704e19b069218623053471959ca,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S1/seed_44.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,01d6f4d3a475d9bef65315a608196b060051e5fc9d7d8d0834b5e32d4f2fbf05,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S1/seed_45.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,bad1306cf734661620aa1616cf7ef8f2d5d97923ff4fe5a018797cdb8cdb807a,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S1/seed_46.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,f0e717236561ab0d96b061d8d392d844e289f177787ac41eca04a832211ce5e2,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_42.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,92c611606e149ef4e92095bc71ba06132437405692896863b92a200541ec5744,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_43.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,eb061e28ae693ca6830c4a11fec10c121f5fb63414e752b150d1ebea84c4bf25,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_44.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,8713f8da929147c18e69129bb683e151eab34a2e21823435d7fa2fb8caa8d12d,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_45.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,564890682d4d02e38efd28bfb9f06b86eefcd077d20b4ebff921922d2ca7d169,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_46.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,7ce3c286cee705f3f13a4cef5cf6e65fbfe33b356e4c724bf6c1ceb645719e55,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_42.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,0b39f31b47eb404d5af6d2dadf09cb5b2c58b3dc725b01033518ad0f9477ba24,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_43.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,021a263088a48426aaa0617a5506cade60d9002caceed6ba2191b54fa149961c,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_44.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,8cb0fc3a52566e3d329317cfdff4c168f56b76c6e4083d314f0b66b9433bb877,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_45.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,116ca5eecccaec83037d91fe746b820a7f349f1866102abca02fd9a496fb844d,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::outputs/strict_dg/source_selection/checkpoints/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_46.pt,HASHED_NOT_PARSED,C1 released checkpoint identity,e297336e8feed18ae1adb148e1ae018fdc404e469bbd665c02ddbd40943e5b7e,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S2/seed_42.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,36c5ff25009664b239a8af251b295d691ec165d5cb064684cf0c3ddb5acf58ff,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S2/seed_43.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,fb116f159d805f51013c581f16609b9056b57e71015d14a0acb71616704eba17,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S2/seed_44.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,f50a1b596a2c62d1e7302b1b217fadeeb4ee1f5e8534b6c12bb43b1134254f6e,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S2/seed_45.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,606da82827d53c5c5a60ef241d09b518a9d6c5eefd5c82d41ec568c91f7e5df3,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S2/seed_46.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,51277f9b6f0e54bb4358dc25a1c3eaae13cc1241349005b1ea3d5a6c535cb4dc,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_42.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,c3ea8e0e469a665c27177158f35d260aec65aca5422f7489a7a73accd52396de,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_43.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,d7b339a8c29132bf916492c4cf1f6406f33f3688bbf5d8f1484bc4a9a7ea5f55,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_44.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,034ae6e1b3b2d3e98fa2a0d749be0cfea225fb8099131e36d74f484413b7d587,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_45.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,e1a120643d0523a652bfe57dab17d830ffc059f87a17c16eccdac7509c3f969e,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S2/seed_46.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,6be04e24190c83452aed0e90951d10fcc5455ea8cdc13032779ef9497b1257d5,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S2/seed_42.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,602c628be45a8967953cd426f956c510f5712aa4e67ab318322398c666bc1b74,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S2/seed_43.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,56863608c887555ccc0a71e9fd62c4e990fc9cd3a7c0cb0f9204dbc3dedc2261,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S2/seed_44.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,0b543a1d9149c6c19d9217d41e4a2bcc491aaa281e9dc1cbd7cd4ecbf29dd1ac,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S2/seed_45.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,d4e0e0795285139742d6e9335753b5bfae60dc9ca7e21cf43680363097d4585d,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S2/seed_46.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,1b926df99302dde894e2aaaa0e9a0ff8a4da852eaac1d712e29a9a0541a55df3,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C3_SOURCE_CORAL_ERM_1DCNN/S2/seed_42.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,6965865b23709e6db688d598b444d6df59e766a273be3f02fc8b55cfd7974a3a,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C3_SOURCE_CORAL_ERM_1DCNN/S2/seed_43.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,705c61c3f285c050e5e4cd54d90106d0a4985634285eae11c2613933b211edc9,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C3_SOURCE_CORAL_ERM_1DCNN/S2/seed_44.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,d87a27317ae2ec0b1e692e3d7be696659c964998f9ee9a871a704426fa5cb6c6,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C3_SOURCE_CORAL_ERM_1DCNN/S2/seed_45.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,fe429436689afbe6a9eb4e14b1e4811c90ea3fdcf551f56704c23e8765969e80,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C3_SOURCE_CORAL_ERM_1DCNN/S2/seed_46.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,374299fc6298d6026c52fbb9272fd84fc9124955d7ed577c0935672b1ffb990e,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S3/seed_42.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,9a2c73c484b9120a1c1a514c93bd87adca6ceceddf7ab5adfc134e435a1b944a,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S3/seed_43.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,2f134e79bf6ca725593407d3300ac8eb9115f7b4b2222ab3e625fcebbe677dd9,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S3/seed_44.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,8f5055889e86537bb2b0462c3dd95f4893c668deedf3838ca4eec1a2136b0dc9,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S3/seed_45.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,6e07726c16105c52f2f7cd1334de9c5424a264c2eecba930ae5c4c442d19d2b2,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C0_NEUTRAL_ERM_1DCNN/S3/seed_46.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,bc2ecc94ced875abed0ad88249ff3c859e16c681370707a2f7249b376f29eb61,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_42.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,51d6065f2395190fa05aaccc4b832a58f0018c8b0316a83c0438b986593a5344,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_43.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,c3e05fb00adc2519590b7564e4fa4f209a04d3b780bcd33e3b7659ef2eb92cd2,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_44.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,09b8aa6ada45227d966ec939fa56fbb7132b32d4b926fb3248de56806e723a72,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_45.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,9d545349f69e088557101a938522ce8b20cea93f924a495144a4ac9427d9a02a,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C1_FIRST_DIFFERENCE_ERM_1DCNN/S3/seed_46.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,f04d6936c939a6e6400a4f8b95b9301e6407937612bf6ed8ce7cf1649cb8e574,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S3/seed_42.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,1e43adb10a076b1bab70255a4e3c8bbf9de13947fee3022be480bf211e3c2452,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S3/seed_43.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,e6d111dfd3176d2140a0e57c67e371d20f05443687b6a4f1bdc5fa09934eb22b,event-local access; arrays and private identifiers were not emitted
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY_PREDICTION_BUNDLE,archive::outputs/strict_dg/source_selection/predictions/C2_SOURCE_EUCLIDEAN_NCM_READOUT/S3/seed_44.npz,OPENED_FOR_SELECTION_BEFORE_GLOBAL_HELD_RELEASE,HOLD_P1 independent Accuracy/Macro-F1 and selector-component replay,a69230c715687898df9de4b55c6845ec17488ae0567368356a11179581588ff0,event-local access; arrays and private identifiers were not emitted
