pair_id,level_a,level_b,signal_position,conditional_frequency_ghz,cell_mean_db,additive_prediction_db,interaction_db
surface_x_position,A1,P1,37,5.3964285714,-36.2757925516,-36.2831311921,0.00733864046928
surface_x_position,A1,P1,38,5.4071428571,-37.6116389491,-37.5389204434,-0.0727185056306
surface_x_position,A1,P1,39,5.4178571429,-39.4896959908,-39.2193916999,-0.27030429081
surface_x_position,A1,P1,40,5.4285714286,-41.5309219602,-40.9403752284,-0.5905467318
surface_x_position,A1,P1,41,5.4392857143,-43.6169285033,-42.8048095473,-0.812118956011
surface_x_position,A1,P1,42,5.4500000000,-45.6728207843,-44.5537838209,-1.11903696335
surface_x_position,A1,P1,43,5.4607142857,-47.7090859791,-46.3739070306,-1.33517894852
surface_x_position,A1,P1,44,5.4714285714,-48.8207727713,-47.6193420404,-1.20143073086
surface_x_position,A1,P1,45,5.4821428571,-49.724531469,-48.8154637754,-0.909067693607
surface_x_position,A1,P1,46,5.4928571429,-50.3704132,-49.6517178771,-0.718695322852
surface_x_position,A1,P1,47,5.5035714286,-51.3044277711,-50.6259745851,-0.67845318599
surface_x_position,A1,P1,48,5.5142857143,-52.1843654211,-51.6226875073,-0.561677913812
surface_x_position,A1,P1,49,5.5250000000,-53.1781700285,-52.6000768469,-0.578093181602
surface_x_position,A1,P1,50,5.5357142857,-54.0458297532,-53.4398580686,-0.605971684526
surface_x_position,A1,P1,51,5.5464285714,-54.8770596977,-54.1667033079,-0.710356389823
surface_x_position,A1,P1,52,5.5571428571,-55.3268963823,-54.6350789799,-0.691817402421
surface_x_position,A1,P1,53,5.5678571429,-56.2693890993,-55.2675043232,-1.00188477608
surface_x_position,A1,P1,54,5.5785714286,-56.719338986,-55.4389530132,-1.28038597287
surface_x_position,A1,P1,55,5.5892857143,-56.7546629174,-55.4285343625,-1.32612855495
surface_x_position,A1,P1,56,5.6000000000,-56.4604210012,-55.1468498185,-1.31357118265
surface_x_position,A1,P1,57,5.6107142857,-55.6540417382,-54.6940046398,-0.960037098404
surface_x_position,A1,P1,58,5.6214285714,-54.603854316,-54.1489531548,-0.45490116119
surface_x_position,A1,P1,59,5.6321428571,-53.9990431578,-53.8671250268,-0.131918131033
surface_x_position,A1,P1,60,5.6428571429,-53.5886490189,-53.5617948912,-0.0268541276157
surface_x_position,A1,P1,61,5.6535714286,-53.7227574818,-53.6170154993,-0.105741982464
surface_x_position,A1,P1,62,5.6642857143,-54.0365503926,-53.8673449585,-0.169205434104
surface_x_position,A1,P1,63,5.6750000000,-54.5298210978,-54.1172580116,-0.412563086236
surface_x_position,A1,P1,64,5.6857142857,-55.4678339876,-54.6600310018,-0.807802985794
surface_x_position,A1,P1,65,5.6964285714,-56.4594752538,-55.179616361,-1.27985889278
surface_x_position,A1,P1,66,5.7071428571,-56.8794049699,-55.4120603783,-1.46734459165
surface_x_position,A1,P1,67,5.7178571429,-57.4020630078,-55.7638162167,-1.63824679117
surface_x_position,A1,P1,68,5.7285714286,-57.2512703912,-55.7927437612,-1.45852662996
surface_x_position,A1,P1,69,5.7392857143,-56.5804437073,-55.7233820107,-0.857061696655
surface_x_position,A1,P1,70,5.7500000000,-55.6778200006,-55.605117101,-0.0727028996834
surface_x_position,A1,P1,71,5.7607142857,-54.578200666,-55.4608482198,0.882647553728
surface_x_position,A1,P1,72,5.7714285714,-53.7326566882,-55.6777283011,1.94507161294
surface_x_position,A1,P1,73,5.7821428571,-52.5319500212,-55.3748203748,2.8428703536
surface_x_position,A1,P1,74,5.7928571429,-51.2716505675,-54.7899226913,3.51827212382
surface_x_position,A1,P1,75,5.8035714286,-50.0532736897,-53.8885723299,3.8352986402
surface_x_position,A1,P1,76,5.8142857143,-48.9837009029,-52.7962207949,3.812519892
surface_x_position,A1,P1,77,5.8250000000,-48.1040972988,-51.6070529902,3.50295569135
surface_x_position,A1,P1,78,5.8357142857,-47.9234696394,-50.7310686453,2.80759900593
surface_x_position,A1,P1,79,5.8464285714,-47.2560974011,-49.4635394601,2.20744205896
surface_x_position,A1,P1,80,5.8571428571,-46.5778040942,-48.2984615505,1.72065745633
surface_x_position,A1,P1,81,5.8678571429,-46.315300514,-47.3648401644,1.04953965039
surface_x_position,A1,P1,82,5.8785714286,-46.3438528545,-46.7696451188,0.425792264336
surface_x_position,A1,P1,83,5.8892857143,-46.4767923338,-46.2804132959,-0.196379037888
surface_x_position,A1,P1,84,5.9000000000,-46.8735635975,-46.2377404762,-0.63582312128
surface_x_position,A1,P1,85,5.9107142857,-47.3372909339,-46.5412269035,-0.79606403044
surface_x_position,A1,P1,86,5.9214285714,-47.8188879084,-47.1462875653,-0.672600343146
surface_x_position,A1,P1,87,5.9321428571,-48.2616327961,-47.7241759991,-0.53745679699
surface_x_position,A1,P1,88,5.9428571429,-48.736877216,-48.4256003346,-0.311276881403
surface_x_position,A1,P1,89,5.9535714286,-49.0623081873,-49.0034674981,-0.0588406892469
surface_x_position,A1,P1,90,5.9642857143,-49.0216277996,-49.3100872875,0.288459487844
surface_x_position,A1,P1,91,5.9750000000,-48.4915838679,-49.3100065767,0.818422708857
surface_x_position,A1,P1,92,5.9857142857,-47.8380935704,-49.1756321588,1.33753858833
surface_x_position,A1,P1,93,5.9964285714,-46.8163745808,-48.5897387772,1.77336419633
surface_x_position,A1,P1,94,6.0071428571,-45.8946378198,-47.9666451766,2.07200735679
surface_x_position,A1,P1,95,6.0178571429,-45.1308559678,-47.271866355,2.14101038715
surface_x_position,A1,P1,96,6.0285714286,-44.6057888133,-46.6915219672,2.08573315389
surface_x_position,A1,P1,97,6.0392857143,-44.4993849421,-46.4125903901,1.91320544797
surface_x_position,A1,P1,98,6.0500000000,-44.6947455021,-46.4697593718,1.77501386972
surface_x_position,A1,P1,99,6.0607142857,-45.1832474103,-46.6041231064,1.42087569613
surface_x_position,A1,P1,100,6.0714285714,-46.0829191317,-47.2608345017,1.17791537
surface_x_position,A1,P1,101,6.0821428571,-47.0593292816,-48.1965141395,1.13718485788
surface_x_position,A1,P1,102,6.0928571429,-48.306364248,-49.2872069802,0.980842732223
surface_x_position,A1,P1,103,6.1035714286,-49.5525678927,-50.0844022596,0.531834366916
surface_x_position,A1,P1,104,6.1142857143,-50.7072728191,-50.7642467739,0.056973954794
surface_x_position,A1,P1,105,6.1250000000,-51.6634757122,-51.2973084733,-0.366167238896
surface_x_position,A1,P1,106,6.1357142857,-52.5623013307,-51.721813141,-0.840488189738
surface_x_position,A1,P1,107,6.1464285714,-52.9833555976,-51.7323276112,-1.25102798639
surface_x_position,A1,P1,108,6.1571428571,-53.0013964474,-51.7565927097,-1.2448037377
surface_x_position,A1,P1,109,6.1678571429,-52.7343011606,-51.6914729958,-1.04282816476
surface_x_position,A1,P1,110,6.1785714286,-52.6297955777,-51.7518082765,-0.877987301187
surface_x_position,A1,P1,111,6.1892857143,-52.9849297429,-52.0444043473,-0.940525395631
surface_x_position,A1,P1,112,6.2000000000,-53.3186343212,-52.1784005203,-1.14023380093
surface_x_position,A1,P1,113,6.2107142857,-53.5736443343,-52.1532856722,-1.42035866217
surface_x_position,A1,P1,114,6.2214285714,-53.7179425273,-52.3210255882,-1.3969169391
surface_x_position,A1,P1,115,6.2321428571,-53.6315864361,-52.4666273159,-1.16495912016
surface_x_position,A1,P1,116,6.2428571429,-53.7079940694,-52.5366118552,-1.17138221417
surface_x_position,A1,P1,117,6.2535714286,-53.8083732292,-52.5280217413,-1.28035148785
surface_x_position,A1,P1,118,6.2642857143,-54.0570619924,-52.733152935,-1.32390905743
surface_x_position,A1,P1,119,6.2750000000,-54.2127570264,-53.0280478516,-1.18470917483
surface_x_position,A1,P1,120,6.2857142857,-54.2804094656,-53.1638900143,-1.11651945134
surface_x_position,A1,P1,121,6.2964285714,-54.0370196581,-53.0438080494,-0.993211608656
surface_x_position,A1,P1,122,6.3071428571,-53.6051750673,-53.2005402431,-0.404634824202
surface_x_position,A1,P1,123,6.3178571429,-53.2493652761,-53.3480417235,0.0986764474169
surface_x_position,A1,P1,124,6.3285714286,-53.25630564,-53.5088445154,0.252538875384
surface_x_position,A1,P1,125,6.3392857143,-53.5941528772,-53.5467786067,-0.0473742704924
surface_x_position,A1,P1,126,6.3500000000,-53.7456787452,-53.5116537806,-0.234024964542
surface_x_position,A1,P1,127,6.3607142857,-53.5787822661,-53.3381408706,-0.240641395417
surface_x_position,A1,P1,128,6.3714285714,-53.252333789,-53.1224539636,-0.129879825444
surface_x_position,A1,P1,129,6.3821428571,-52.7086505961,-52.6815930453,-0.027057550798
surface_x_position,A1,P1,130,6.3928571429,-52.0870146262,-52.241542595,0.154527968774
surface_x_position,A1,P1,131,6.4035714286,-51.6645852222,-51.9713415183,0.306756296092
surface_x_position,A1,P1,132,6.4142857143,-51.5305022079,-51.7044032143,0.17390100647
surface_x_position,A1,P1,133,6.4250000000,-51.4987968185,-51.4311305743,-0.0676662442436
surface_x_position,A1,P1,134,6.4357142857,-51.8492820579,-51.3359139416,-0.513368116304
surface_x_position,A1,P1,135,6.4464285714,-52.422853012,-51.5266105668,-0.896242445198
surface_x_position,A1,P1,136,6.4571428571,-52.8589433393,-51.7043462281,-1.15459711123
surface_x_position,A1,P1,137,6.4678571429,-53.0828573119,-51.6351401474,-1.44771716453
surface_x_position,A1,P1,138,6.4785714286,-53.3146456743,-51.6262667998,-1.68837887454
surface_x_position,A1,P1,139,6.4892857143,-53.4857780404,-51.5980659072,-1.88771213321
surface_x_position,A1,P1,140,6.5000000000,-53.737318408,-51.8323682787,-1.90495012925
surface_x_position,A1,P1,141,6.5107142857,-53.5675287613,-51.8582119201,-1.70931684112
surface_x_position,A1,P1,142,6.5214285714,-53.0637464124,-51.5822744424,-1.48147196996
surface_x_position,A1,P1,143,6.5321428571,-52.2899439495,-51.0388040362,-1.25113991334
surface_x_position,A1,P1,144,6.5428571429,-51.5248808286,-50.6805456599,-0.844335168757
surface_x_position,A1,P1,145,6.5535714286,-50.726574373,-50.1561995978,-0.57037477521
surface_x_position,A1,P1,146,6.5642857143,-49.8082046136,-49.4415647087,-0.366639904856
surface_x_position,A1,P1,147,6.5750000000,-48.8140040802,-48.6725393564,-0.141464723746
surface_x_position,A1,P1,148,6.5857142857,-47.8974261191,-48.0545620266,0.157135907488
surface_x_position,A1,P1,149,6.5964285714,-47.3855101332,-47.7285834841,0.343073350886
surface_x_position,A1,P1,150,6.6071428571,-46.8403597515,-47.2991815445,0.458821793001
surface_x_position,A1,P1,151,6.6178571429,-46.1747595632,-46.8686556256,0.693896062366
surface_x_position,A1,P1,152,6.6285714286,-45.7768301561,-46.671700804,0.894870647969
surface_x_position,A1,P1,153,6.6392857143,-45.5366443415,-46.523998903,0.987354561436
surface_x_position,A1,P1,154,6.6500000000,-45.5176096342,-46.6001468823,1.08253724811
surface_x_position,A1,P1,155,6.6607142857,-45.4340178888,-46.6604429786,1.22642508981
surface_x_position,A1,P1,156,6.6714285714,-45.4520791836,-46.7366522162,1.2845730326
surface_x_position,A1,P1,157,6.6821428571,-45.5628853294,-46.8572391154,1.294353786
surface_x_position,A1,P1,158,6.6928571429,-45.5240909839,-46.8591775103,1.33508652639
surface_x_position,A1,P1,159,6.7035714286,-45.3587099167,-46.6748811336,1.31617121693
surface_x_position,A1,P1,160,6.7142857143,-45.3127451483,-46.5259704698,1.21322532141
surface_x_position,A1,P1,161,6.7250000000,-45.3000847634,-46.4373585422,1.13727377882
surface_x_position,A1,P1,162,6.7357142857,-45.3697396762,-46.5570849052,1.18734522899
surface_x_position,A1,P1,163,6.7464285714,-46.0143495099,-47.0745471085,1.06019759859
surface_x_position,A1,P1,164,6.7571428571,-46.7336829964,-47.6518140865,0.918131090042
surface_x_position,A1,P1,165,6.7678571429,-47.4700533738,-48.157156432,0.687103058158
surface_x_position,A1,P1,166,6.7785714286,-48.1503779252,-48.5180656198,0.367687694624
surface_x_position,A1,P1,167,6.7892857143,-48.8662003269,-48.9188586992,0.0526583722359
surface_x_position,A1,P1,168,6.8000000000,-49.5870403387,-49.4562480636,-0.130792275034
surface_x_position,A1,P1,169,6.8107142857,-50.4604604778,-50.0848570202,-0.375603457563
surface_x_position,A1,P1,170,6.8214285714,-51.1611627789,-50.5946841132,-0.566478665731
surface_x_position,A1,P1,171,6.8321428571,-51.8011391023,-50.966243973,-0.834895129275
surface_x_position,A1,P1,172,6.8428571429,-52.3105686564,-51.0465680357,-1.26400062071
surface_x_position,A1,P1,173,6.8535714286,-52.9067285621,-51.2426012951,-1.66412726702
surface_x_position,A1,P1,174,6.8642857143,-53.5418870943,-51.5260058687,-2.01588122558
surface_x_position,A1,P1,175,6.8750000000,-53.9187780489,-51.5907579122,-2.3280201367
surface_x_position,A1,P1,176,6.8857142857,-54.1712433427,-51.8214176261,-2.34982571666
surface_x_position,A1,P1,177,6.8964285714,-54.4914620132,-52.1345634626,-2.35689855066
surface_x_position,A1,P1,178,6.9071428571,-54.8024031474,-52.4058253324,-2.39657781492
surface_x_position,A1,P1,179,6.9178571429,-55.2585556834,-52.8666364505,-2.39191923285
surface_x_position,A1,P1,180,6.9285714286,-55.4202811266,-53.203055012,-2.21722611468
surface_x_position,A1,P1,181,6.9392857143,-55.4042453115,-53.5699459349,-1.83429937657
surface_x_position,A1,P1,182,6.9500000000,-55.3732873033,-54.0253407734,-1.34794652987
surface_x_position,A1,P1,183,6.9607142857,-55.2593559046,-54.2620290147,-0.997326889948
surface_x_position,A1,P1,184,6.9714285714,-55.3038117215,-54.3852883911,-0.918523330415
surface_x_position,A1,P1,185,6.9821428571,-55.4719827205,-54.4128951307,-1.05908758982
surface_x_position,A1,P1,186,6.9928571429,-55.4393477205,-54.1417003411,-1.29764737944
surface_x_position,A1,P1,187,7.0035714286,-55.4853584537,-53.9358618348,-1.54949661892
surface_x_position,A1,P1,188,7.0142857143,-55.3147848627,-53.4074143128,-1.90737054988
surface_x_position,A1,P1,189,7.0250000000,-55.0848031649,-52.8082918245,-2.2765113404
surface_x_position,A1,P1,190,7.0357142857,-54.6841685828,-52.4158827,-2.26828588282
surface_x_position,A1,P1,191,7.0464285714,-54.0374421882,-51.8198625385,-2.21757964975
surface_x_position,A1,P1,192,7.0571428571,-53.6017105514,-51.4392339489,-2.16247660254
surface_x_position,A1,P1,193,7.0678571429,-53.2071703898,-51.4263339847,-1.7808364051
surface_x_position,A1,P1,194,7.0785714286,-52.5592682893,-51.2982158985,-1.26105239081
surface_x_position,A1,P1,195,7.0892857143,-52.1405653229,-51.4212216432,-0.719343679709
surface_x_position,A1,P1,196,7.1000000000,-51.963020402,-51.6752405048,-0.287779897205
surface_x_position,A1,P1,197,7.1107142857,-51.796242859,-51.6052459013,-0.190996957634
surface_x_position,A1,P1,198,7.1214285714,-51.8970316457,-51.4808295829,-0.416202062772
surface_x_position,A1,P1,199,7.1321428571,-51.8625272443,-51.3294914489,-0.533035795423
surface_x_position,A1,P1,200,7.1428571429,-51.9867432191,-51.3911010634,-0.595642155745
surface_x_position,A1,P1,201,7.1535714286,-52.1339242745,-51.3761702647,-0.757754009859
surface_x_position,A1,P1,202,7.1642857143,-52.0781593492,-51.3032833622,-0.77487598697
surface_x_position,A1,P1,203,7.1750000000,-51.9331429988,-51.2811103607,-0.652032638032
surface_x_position,A1,P1,204,7.1857142857,-51.4392483889,-50.965081642,-0.474166746933
surface_x_position,A1,P1,205,7.1964285714,-50.7880732935,-50.3794711235,-0.408602169966
surface_x_position,A1,P1,206,7.2071428571,-50.4656457297,-50.0792802327,-0.386365497087
surface_x_position,A1,P1,207,7.2178571429,-49.9581713001,-49.5575448393,-0.400626460776
surface_x_position,A1,P1,208,7.2285714286,-49.5284262086,-48.8947787926,-0.633647416021
surface_x_position,A1,P1,209,7.2392857143,-49.3739709713,-48.4546714024,-0.919299568895
surface_x_position,A1,P1,210,7.2500000000,-49.1506867635,-47.8315515479,-1.31913521567
surface_x_position,A1,P1,211,7.2607142857,-49.3462274997,-47.4195204935,-1.92670700619
surface_x_position,A1,P1,212,7.2714285714,-49.7679239869,-47.3641395498,-2.40378443703
surface_x_position,A1,P1,213,7.2821428571,-50.0542637466,-47.563742161,-2.49052158557
surface_x_position,A1,P1,214,7.2928571429,-50.6206742847,-48.1634975649,-2.45717671978
surface_x_position,A1,P1,215,7.3035714286,-51.0598872665,-48.7324720416,-2.32741522489
surface_x_position,A1,P1,216,7.3142857143,-51.4625224533,-49.3878711928,-2.07465126048
surface_x_position,A1,P1,217,7.3250000000,-51.7836343549,-49.9570974128,-1.82653694206
surface_x_position,A1,P1,218,7.3357142857,-51.9364565606,-50.3047255294,-1.63173103122
surface_x_position,A1,P1,219,7.3464285714,-51.95849188,-50.438016222,-1.52047565805
surface_x_position,A1,P1,220,7.3571428571,-51.8723827591,-50.3874635013,-1.48491925778
surface_x_position,A1,P1,221,7.3678571429,-51.7705123712,-50.123526685,-1.64698568624
surface_x_position,A1,P1,222,7.3785714286,-51.8062593968,-49.824376131,-1.98188326577
surface_x_position,A1,P1,223,7.3892857143,-51.9918201774,-49.6092436725,-2.38257650495
surface_x_position,A1,P1,224,7.4000000000,-52.2188753997,-49.4905135978,-2.72836180192
surface_x_position,A1,P1,225,7.4107142857,-52.5870518198,-49.4613875945,-3.12566422535
surface_x_position,A1,P1,226,7.4214285714,-52.5550436513,-49.2469128764,-3.30813077492
surface_x_position,A1,P1,227,7.4321428571,-52.4087749091,-49.0497717984,-3.35900311077
surface_x_position,A1,P1,228,7.4428571429,-52.3925329203,-49.0677503506,-3.32478256971
surface_x_position,A1,P1,229,7.4535714286,-52.3129006964,-49.0861274837,-3.22677321279
surface_x_position,A1,P1,230,7.4642857143,-52.3111078134,-49.2570207432,-3.05408707017
surface_x_position,A1,P1,231,7.4750000000,-52.2237745909,-49.501888844,-2.72188574698
surface_x_position,A1,P1,232,7.4857142857,-52.1965819779,-49.8316364045,-2.36494557339
surface_x_position,A1,P1,233,7.4964285714,-52.0260762945,-49.9162589271,-2.10981736746
surface_x_position,A1,P1,234,7.5071428571,-51.8519225925,-49.899391041,-1.95253155142
surface_x_position,A1,P1,235,7.5178571429,-51.9032024573,-49.8479001668,-2.05530229044
surface_x_position,A1,P1,236,7.5285714286,-51.9428455983,-49.7247541626,-2.21809143564
surface_x_position,A1,P1,237,7.5392857143,-51.7578359952,-49.4395714476,-2.31826454759
surface_x_position,A1,P1,238,7.5500000000,-51.3276674866,-48.9370554697,-2.39061201689
surface_x_position,A1,P1,239,7.5607142857,-50.8448534383,-48.268709072,-2.57614436631
surface_x_position,A1,P1,240,7.5714285714,-50.4208595084,-47.6442327372,-2.77662677121
surface_x_position,A1,P1,241,7.5821428571,-50.23675718,-47.274939485,-2.96181769497
surface_x_position,A1,P1,242,7.5928571429,-50.1286966222,-46.9343654299,-3.19433119228
surface_x_position,A1,P1,243,7.6035714286,-50.2740253056,-46.7501463946,-3.52387891102
surface_x_position,A1,P1,244,7.6142857143,-50.4894374002,-46.7706471095,-3.71879029068
surface_x_position,A1,P1,245,7.6250000000,-50.4905455905,-46.6954586075,-3.79508698304
surface_x_position,A1,P1,246,7.6357142857,-50.3838770067,-46.6847643753,-3.69911263144
surface_x_position,A1,P1,247,7.6464285714,-49.9027351439,-46.4505474029,-3.45218774092
surface_x_position,A1,P1,248,7.6571428571,-49.1401105036,-46.0552313442,-3.08487915946
surface_x_position,A1,P1,249,7.6678571429,-48.5493489646,-45.6653562193,-2.88399274535
surface_x_position,A1,P1,250,7.6785714286,-48.1080267218,-45.4436444209,-2.66438230093
surface_x_position,A1,P1,251,7.6892857143,-47.539468972,-45.1861269285,-2.35334204352
surface_x_position,A1,P1,252,7.7000000000,-47.4081279433,-45.0722268083,-2.33590113502
surface_x_position,A1,P1,253,7.7107142857,-47.5664041556,-45.1779595785,-2.38844457713
surface_x_position,A1,P1,254,7.7214285714,-47.7250708415,-45.2841663684,-2.44090447311
surface_x_position,A1,P1,255,7.7321428571,-48.1374690284,-45.6127337731,-2.52473525528
surface_x_position,A1,P1,256,7.7428571429,-48.8213687577,-45.8629568154,-2.95841194229
surface_x_position,A1,P1,257,7.7535714286,-49.6794186204,-46.224640421,-3.45477819943
surface_x_position,A1,P1,258,7.7642857143,-50.3200811281,-46.5076254474,-3.81245568069
surface_x_position,A1,P1,259,7.7750000000,-50.6915044288,-46.6253445227,-4.06615990615
surface_x_position,A1,P1,260,7.7857142857,-50.6542345474,-46.7024679572,-3.95176659012
surface_x_position,A1,P1,261,7.7964285714,-50.5144345295,-46.5284661677,-3.98596836182
surface_x_position,A1,P1,262,7.8071428571,-50.3167729567,-46.316741391,-4.0000315657
surface_x_position,A1,P1,263,7.8178571429,-50.1333345752,-46.1713522768,-3.96198229848
surface_x_position,A1,P1,264,7.8285714286,-49.7733839372,-46.039923675,-3.73346026224
surface_x_position,A1,P1,265,7.8392857143,-49.1718821628,-46.0809031272,-3.09097903563
surface_x_position,A1,P1,266,7.8500000000,-48.6650086978,-46.0867882994,-2.57822039833
surface_x_position,A1,P1,267,7.8607142857,-47.8980865795,-45.9821126346,-1.91597394485
surface_x_position,A1,P1,268,7.8714285714,-47.1295222007,-45.7899745775,-1.33954762317
surface_x_position,A1,P1,269,7.8821428571,-46.6152449797,-45.7210652435,-0.894179736192
surface_x_position,A1,P1,270,7.8928571429,-46.2215935801,-45.6439573921,-0.577636187971
surface_x_position,A1,P1,271,7.9035714286,-45.9615077977,-45.792538903,-0.168968894674
surface_x_position,A1,P1,272,7.9142857143,-45.7508439621,-45.9893139959,0.238470033782
surface_x_position,A1,P1,273,7.9250000000,-45.5600130468,-46.228516417,0.668503370263
surface_x_position,A1,P1,274,7.9357142857,-45.4845326154,-46.4480639061,0.963531290722
surface_x_position,A1,P1,275,7.9464285714,-45.6037496223,-46.5761044212,0.972354798887
surface_x_position,A1,P1,276,7.9571428571,-45.5925978423,-46.7463538309,1.1537559886
surface_x_position,A1,P1,277,7.9678571429,-45.4459285037,-46.8271613343,1.38123283061
surface_x_position,A1,P1,278,7.9785714286,-45.406261372,-46.8553262329,1.44906486087
surface_x_position,A1,P1,279,7.9892857143,-45.4295837202,-46.9628010448,1.53321732465
surface_x_position,A1,P1,280,8.0000000000,-45.5780376372,-46.8931873829,1.3151497457
surface_x_position,A1,P2,0,5.0000000000,-49.2686632177,-50.2194488889,0.950785671202
surface_x_position,A1,P2,1,5.0107142857,-49.6155696121,-50.3485063824,0.732936770233
surface_x_position,A1,P2,2,5.0214285714,-49.8517728759,-50.361208662,0.509435786056
surface_x_position,A1,P2,3,5.0321428571,-50.1075785817,-50.3784569925,0.270878410854
surface_x_position,A1,P2,4,5.0428571429,-50.572900065,-50.398885357,-0.174014707976
surface_x_position,A1,P2,5,5.0535714286,-51.4186813397,-50.5473872528,-0.871294086867
surface_x_position,A1,P2,6,5.0642857143,-51.9634054867,-50.3990566793,-1.56434880746
surface_x_position,A1,P2,7,5.0750000000,-52.4924242368,-50.402156819,-2.09026741786
surface_x_position,A1,P2,8,5.0857142857,-53.207493367,-50.7825833105,-2.42491005642
surface_x_position,A1,P2,9,5.0964285714,-53.8255200592,-51.0922563654,-2.73326369378
surface_x_position,A1,P2,10,5.1071428571,-54.1833070773,-51.1970151858,-2.98629189159
surface_x_position,A1,P2,11,5.1178571429,-54.1539885497,-51.0331609361,-3.12082761354
surface_x_position,A1,P2,12,5.1285714286,-53.8866711675,-50.8103806052,-3.07629056226
surface_x_position,A1,P2,13,5.1392857143,-53.3872543188,-50.445772914,-2.94148140479
surface_x_position,A1,P2,14,5.1500000000,-52.6929040206,-49.8757342034,-2.81716981724
surface_x_position,A1,P2,15,5.1607142857,-51.840913574,-49.0230019618,-2.81791161215
surface_x_position,A1,P2,16,5.1714285714,-51.0421914976,-48.4014328221,-2.64075867554
surface_x_position,A1,P2,17,5.1821428571,-50.3139590704,-47.6998058486,-2.6141532218
surface_x_position,A1,P2,18,5.1928571429,-49.6317520292,-46.9504760066,-2.68127602263
surface_x_position,A1,P2,19,5.2035714286,-49.1526978121,-46.2862351712,-2.86646264094
surface_x_position,A1,P2,20,5.2142857143,-48.5033790014,-45.5760379675,-2.92734103393
surface_x_position,A1,P2,21,5.2250000000,-48.2208419715,-45.27650914,-2.94433283154
surface_x_position,A1,P2,22,5.2357142857,-47.9712276133,-45.0965312922,-2.87469632108
surface_x_position,A1,P2,23,5.2464285714,-47.4902793669,-44.6752099028,-2.81506946411
